palabra,freq,diario,por_noticia
dosis,205,Télam,0.29
precio,405,Clarín,0.29
precio,210,Ámbito,0.29
Macri,93,El Destape,0.28
Argentina,398,Clarín,0.28
TERCERO,3005,Popular,0.28
medio,92,El Destape,0.28
tema,14,Le Doy Mi Palabra,0.28
Milagro Sala,14,Le Doy Mi Palabra,0.28
renuncia,14,Le Doy Mi Palabra,0.28
pase,14,Le Doy Mi Palabra,0.28
diario,14,Le Doy Mi Palabra,0.28
Jorge,14,Le Doy Mi Palabra,0.28
