diario,categoria,desde,hasta,total,por_dia
Infobae,internacional,20210213,20210220,12675,1584.38
Popular,deportes,20210213,20210220,5668,708.50
Popular,varios,20210213,20210220,5381,672.62
La Nación,sociedad,20210213,20210220,2883,360.38
La Nación,lifestyle,20210213,20210220,444,55.50
La Nación,deportes,20210213,20210220,359,44.88
La Nación,internacional,20210213,20210220,329,41.12
La Nación,espectaculos,20210213,20210220,291,36.38
Clarín,internacional,20210213,20210220,244,30.50
La Nación,politica,20210213,20210220,219,27.38
Clarín,deportes,20210213,20210220,211,26.38
Clarín,politica,20210213,20210220,202,25.25
Perfil,politica,20210213,20210220,189,23.62
La Nación,economia,20210213,20210220,186,23.25
Infobae,politica,20210213,20210220,184,23.00
Ámbito,politica,20210213,20210220,181,22.62
Página 12,sociedad,20210213,20210220,170,21.25
Clarín,sociedad,20210213,20210220,164,20.50
Télam,sociedad,20210213,20210220,159,19.88
TN,espectaculos,20210213,20210220,159,19.88
Télam,politica,20210213,20210220,152,19.00
Ámbito,sociedad,20210213,20210220,149,18.62
TN,deportes,20210213,20210220,146,18.25
Página 12,politica,20210213,20210220,143,17.88
Infobae,sociedad,20210213,20210220,139,17.38
Infobae,economia,20210213,20210220,135,16.88
El Destape,politica,20210213,20210220,134,16.75
Infobae,espectaculos,20210213,20210220,134,16.75
TN,politica,20210213,20210220,128,16.00
Clarín,economia,20210213,20210220,122,15.25
Perfil,deportes,20210213,20210220,114,14.25
Página 12,rosario12,20210213,20210220,112,14.00
TN,sociedad,20210213,20210220,111,13.88
Página 12,deportes,20210213,20210220,105,13.12
Infobae,deportes,20210213,20210220,100,12.50
Perfil,economia,20210213,20210220,99,12.38
TN,internacional,20210213,20210220,95,11.88
Télam,deportes,20210213,20210220,94,11.75
Télam,internacional,20210213,20210220,93,11.62
Ámbito,deportes,20210213,20210220,86,10.75
Clarín,espectaculos,20210213,20210220,86,10.75
Infobae,opinion,20210213,20210220,84,10.50
La Nación,opinion,20210213,20210220,84,10.50
Perfil,espectaculos,20210213,20210220,82,10.25
Ámbito,economia,20210213,20210220,77,9.62
La Nación,seguridad,20210213,20210220,76,9.50
Perfil,opinion,20210213,20210220,72,9.00
TN,tecno,20210213,20210220,68,8.50
El Destape,sociedad,20210213,20210220,67,8.38
Página 12,economia,20210213,20210220,66,8.25
Clarín,rural,20210213,20210220,63,7.88
Ámbito,internacional,20210213,20210220,61,7.62
Página 12,internacional,20210213,20210220,61,7.62
TN,economia,20210213,20210220,60,7.50
TN,policiales,20210213,20210220,59,7.38
Clarín,tecnologia,20210213,20210220,58,7.25
TN,salud,20210213,20210220,56,7.00
TN,estilo,20210213,20210220,54,6.75
El Destape,economia,20210213,20210220,53,6.62
Clarín,opinion,20210213,20210220,52,6.50
Perfil,internacional,20210213,20210220,51,6.38
Popular,politica,20210213,20210220,51,6.38
Télam,economia,20210213,20210220,50,6.25
El Destape,deportes,20210213,20210220,48,6.00
Perfil,sociedad,20210213,20210220,47,5.88
Télam,espectaculos,20210213,20210220,45,5.62
Clarín,policiales,20210213,20210220,44,5.50
TN,musica,20210213,20210220,44,5.50
Infobae,cultura,20210213,20210220,43,5.38
Télam,policiales,20210213,20210220,43,5.38
Popular,internacionales,20210213,20210220,42,5.25
Página 12,espectaculos,20210213,20210220,41,5.12
Le Doy Mi Palabra,todo,20210213,20210220,40,5.00
La Nación,tecnologia,20210213,20210220,39,4.88
Ámbito,espectaculos,20210213,20210220,38,4.75
Popular,general,20210213,20210220,35,4.38
Ámbito,finanzas,20210213,20210220,32,4.00
Ámbito,negocios,20210213,20210220,32,4.00
Clarín,cultura,20210213,20210220,28,3.50
La Nación,cultura,20210213,20210220,28,3.50
La Nación,propiedades,20210213,20210220,28,3.50
Télam,latinoamerica,20210213,20210220,28,3.50
Ámbito,nacional,20210213,20210220,27,3.38
Clarín,revista-n,20210213,20210220,27,3.38
Clarín,ciudades,20210213,20210220,26,3.25
La Nación,ciencia,20210213,20210220,25,3.12
TN,autos,20210213,20210220,25,3.12
Popular,policiales,20210213,20210220,24,3.00
TN,opinion,20210213,20210220,24,3.00
Infobae,salud,20210213,20210220,23,2.88
Clarín,viajes,20210213,20210220,20,2.50
Popular,espectaculos,20210213,20210220,20,2.50
Ámbito,opinion,20210213,20210220,19,2.38
Clarín,buena-vida,20210213,20210220,19,2.38
El Destape,cultura,20210213,20210220,19,2.38
Télam,conosur,20210213,20210220,19,2.38
Infobae,tendencias,20210213,20210220,17,2.12
Télam,cultura,20210213,20210220,17,2.12
Popular,horoscopo,20210213,20210220,16,2.00
Perfil,cultura,20210213,20210220,15,1.88
Ámbito,lifestyle,20210213,20210220,13,1.62
Popular,economia,20210213,20210220,13,1.62
La Nación,turismo,20210213,20210220,12,1.50
Le Doy Mi Palabra,editorial,20210213,20210220,10,1.25
Página 12,las12,20210213,20210220,10,1.25
Perfil,policiales,20210213,20210220,10,1.25
Popular,tecnologia,20210213,20210220,10,1.25
Clarín,arq,20210213,20210220,9,1.12
Clarín,viva,20210213,20210220,9,1.12
Infobae,campo,20210213,20210220,9,1.12
La Nación,comunidad,20210213,20210220,9,1.12
Popular,salud,20210213,20210220,9,1.12
Clarín,autos,20210213,20210220,8,1.00
Clarín,cartas-al-pais,20210213,20210220,8,1.00
Página 12,no,20210213,20210220,8,1.00
Página 12,soy,20210213,20210220,8,1.00
Perfil,ciencia,20210213,20210220,8,1.00
Infobae,inhouse,20210213,20210220,7,0.88
El Destape,internacional,20210213,20210220,6,0.75
Página 12,ciencia,20210213,20210220,6,0.75
Ámbito,estilo-a,20210213,20210220,5,0.62
Ámbito,novedades-fiscales,20210213,20210220,5,0.62
La Nación,buenos-aires,20210213,20210220,5,0.62
Ámbito,ambito-biz,20210213,20210220,4,0.50
Casa Rosada,todo,20210213,20210220,4,0.50
La Nación,autos,20210213,20210220,4,0.50
La Nación,moda-y-belleza,20210213,20210220,4,0.50
Perfil,tecnologia,20210213,20210220,4,0.50
Infobae,tecno,20210213,20210220,2,0.25
Télam,turismo,20210213,20210220,2,0.25
Página 12,cultura,20210213,20210220,1,0.12
Página 12,radar,20210213,20210220,1,0.12
