palabra,freq,diario,por_noticia
febrero,3009,lanacion,0.59881
coronavirus,2866,lanacion,0.57035
Argentina,2283,lanacion,0.45433
Buenos Aires,672,lanacion,0.13373
aire,1670,infobae,0.12323
Ginés,6,diariodeleuco,0.12
febrero,1619,infobae,0.11947
pase,5,diariodeleuco,0.1
Leuco,5,diariodeleuco,0.1
coronavirus,108,clarin,0.07714
K,3,diariodeleuco,0.06
Cristina,3,diariodeleuco,0.06
esposo,3,diariodeleuco,0.06
vacuna,3,diariodeleuco,0.06
cargo,3,diariodeleuco,0.06
Pata,3,diariodeleuco,0.06
refuerzo,600,popular,0.05663
calidad,713,infobae,0.05261
Boca,17,eldestape,0.05199
vacuna,35,telam,0.04958
coronavirus,16,eldestape,0.04893
Condición,653,infobae,0.04818
coronavirus,493,popular,0.04653
Hipódromo,490,popular,0.04624
Febrero,223,lanacion,0.04438
River,465,popular,0.04388
ICAP,590,infobae,0.04354
programa,456,popular,0.04304
gobierno,14,eldestape,0.04281
Argentina,14,eldestape,0.04281
Lorenzo,443,popular,0.04181
defensa,435,popular,0.04105
dólar,545,infobae,0.04022
provincia,13,eldestape,0.03976
vacuna,13,eldestape,0.03976
coronavirus,28,telam,0.03966
coronavirus,40,todonoticias,0.03887
Carlos Menem,40,todonoticias,0.03887
recomendados,397,popular,0.03747
inflación,12,eldestape,0.0367
pronóstico,176,lanacion,0.03502
clima,173,lanacion,0.03443
vacuna,48,clarin,0.03429
Salta,172,lanacion,0.03423
visita,358,popular,0.03379
Carlos Menem,11,eldestape,0.03364
muerte,11,eldestape,0.03364
coronavirus,24,paginadoce,0.03279
Plata,344,popular,0.03247
vacuna,436,infobae,0.03217
Números,335,popular,0.03162
foto,334,popular,0.03152
resultado,327,popular,0.03086
Carlos Menem,43,clarin,0.03071
precio,10,eldestape,0.03058
COVID,413,infobae,0.03048
Menem,21,perfil,0.03039
vacuna,22,ambito,0.03018
Úrsula Bahillo,319,popular,0.03011
Carlos Menem,22,paginadoce,0.03005
fecha,318,popular,0.03001
vacunación,21,telam,0.02975
Diario,315,popular,0.02973
cotización,399,infobae,0.02944
gobierno,20,telam,0.02833
febrero,9,eldestape,0.02752
gobierno,19,perfil,0.0275
febrero,20,ambito,0.02743
Facundo Campazzo,290,popular,0.02737
Menem,19,ambito,0.02606
Carlos Menem,18,perfil,0.02605
Justicia,276,popular,0.02605
Huracán,275,popular,0.02595
Vélez,272,popular,0.02567
Menem,18,telam,0.0255
Racing,269,popular,0.02539
domingo,267,popular,0.0252
clase,18,ambito,0.02469
dólar,18,ambito,0.02469
Menem,8,eldestape,0.02446
candidato,258,popular,0.02435
vacuna,25,todonoticias,0.0243
muerte,25,todonoticias,0.0243
gobierno,34,clarin,0.02429
clase,17,telam,0.02408
gobierno,17,ambito,0.02332
vacunación,17,ambito,0.02332
EEUU,313,infobae,0.0231
pandemia,312,infobae,0.02302
Arsenal,243,popular,0.02293
México,308,infobae,0.02273
Argentina,16,telam,0.02266
presidente,16,telam,0.02266
Juan,113,lanacion,0.02249
muerte,298,infobae,0.02199
carrera,233,popular,0.02199
Ciudad,16,ambito,0.02195
Boca,231,popular,0.0218
Diego Dabove,229,popular,0.02161
febrero,30,clarin,0.02143
Valentín,22,todonoticias,0.02138
foto,22,todonoticias,0.02138
coronavirus,288,infobae,0.02125
Palermo,225,popular,0.02123
taller,225,popular,0.02123
rosario,223,popular,0.02105
Argentina,15,ambito,0.02058
Alberto Fernández,15,paginadoce,0.02049
marcha,215,popular,0.02029
clase,14,perfil,0.02026
River,14,perfil,0.02026
derrota,214,popular,0.0202
Barcelona,213,popular,0.0201
previsión,269,infobae,0.01985
Buenos Aires,14,telam,0.01983
Ariel Holan,206,popular,0.01944
Santos,206,popular,0.01944
Alberto Fernández,20,todonoticias,0.01944
River,20,todonoticias,0.01944
Argentina,14,paginadoce,0.01913
inflación,13,perfil,0.01881
Banfield,198,popular,0.01869
dólar,26,clarin,0.01857
hijo,19,todonoticias,0.01846
Argentina,19,todonoticias,0.01846
semana,13,telam,0.01841
Consejo,13,telam,0.01841
vacunación,6,eldestape,0.01835
River,6,eldestape,0.01835
problema,6,eldestape,0.01835
Consejo,6,eldestape,0.01835
Alberto Fernández,6,eldestape,0.01835
clase,6,eldestape,0.01835
Barcelona,6,eldestape,0.01835
Gimnasia,194,popular,0.01831
Rioja,90,lanacion,0.01791
clase,25,clarin,0.01786
símbolo,189,popular,0.01784
Bitcoin,13,ambito,0.01783
River,13,ambito,0.01783
Consejo,13,ambito,0.01783
vacunación,18,todonoticias,0.01749
Ciudad,18,todonoticias,0.01749
vacuna,12,perfil,0.01737
precio,12,perfil,0.01737
partido,87,lanacion,0.01731
Argentina,24,clarin,0.01714
general,86,lanacion,0.01711
Liniers,180,popular,0.01699
Australia,17,todonoticias,0.01652
vip,17,todonoticias,0.01652
Isidro,174,popular,0.01642
vacuna,12,paginadoce,0.01639
femicidio,173,popular,0.01633
sábado,82,lanacion,0.01632
huracán,170,popular,0.01604
premio,169,popular,0.01595
folklore,169,popular,0.01595
noche,169,popular,0.01595
pandemia,11,perfil,0.01592
foto,11,perfil,0.01592
vacunación,11,perfil,0.01592
Alberto Fernández,11,perfil,0.01592
Boca,11,perfil,0.01592
gobierno,16,todonoticias,0.01555
éxito,164,popular,0.01548
estudiante,164,popular,0.01548
jugador,163,popular,0.01538
justicia,5,eldestape,0.01529
Messi,5,eldestape,0.01529
AstraZeneca,5,eldestape,0.01529
familia,5,eldestape,0.01529
Macri,5,eldestape,0.01529
aumento,5,eldestape,0.01529
vuelta,5,eldestape,0.01529
Alberto,5,eldestape,0.01529
Gallardo,5,eldestape,0.01529
Ginés,5,eldestape,0.01529
Salud,5,eldestape,0.01529
femicidio,5,eldestape,0.01529
contagio,205,infobae,0.01513
jornada,76,lanacion,0.01512
título,160,popular,0.0151
busca,160,popular,0.0151
Estudiantes,160,popular,0.0151
precio,11,ambito,0.01509
pandemia,11,ambito,0.01509
coronavirus,11,ambito,0.01509
