palabra,freq,diario,por_noticia
coronavirus,20996,lanacion,4.17831
restricción,23343,infobae,1.72248
síntoma,7873,lanacion,1.56677
departamento,7236,lanacion,1.44
dígito,18263,infobae,1.34762
viernes,16520,infobae,1.21901
Argentina,6123,lanacion,1.21851
lunes,16356,infobae,1.20691
presidente,59,diariodeleuco,1.18
Salud,5767,lanacion,1.14766
muertos,5707,lanacion,1.13572
pandemia,5658,lanacion,1.12597
paciente,5400,lanacion,1.07463
provincia,5325,lanacion,1.0597
cambio,5311,lanacion,1.05692
Ministerio,5262,lanacion,1.04716
dato,5258,lanacion,1.04637
Sello,14110,infobae,1.04117
virus,5183,lanacion,1.03144
criterio,5159,lanacion,1.02667
presencia,5157,lanacion,1.02627
dificultad,5146,lanacion,1.02408
juez,50,diariodeleuco,1
base,4888,lanacion,0.97274
partido,4855,lanacion,0.96617
septiembre,12457,infobae,0.9192
gobierno,294,eldestape,0.89908
cuenta,4494,lanacion,0.89433
foto,856,todonoticias,0.83188
gobierno,41,diariodeleuco,0.82
nbsp,38,diariodeleuco,0.76
partido,7875,popular,0.7432
vacuna,37,diariodeleuco,0.74
Menem,36,diariodeleuco,0.72
foto,999,clarin,0.71357
gobierno,985,clarin,0.70357
actividad,9489,infobae,0.70019
calefactor,9130,infobae,0.6737
Carga,9130,infobae,0.6737
Calefactores,9130,infobae,0.6737
semana,9031,infobae,0.6664
ganador,6953,popular,0.65619
apuesto,6918,popular,0.65289
febrero,3262,lanacion,0.64915
vacuna,900,clarin,0.64286
Covid,3229,lanacion,0.64259
presidente,209,eldestape,0.63914
fecha,3177,lanacion,0.63224
gobierno,460,paginadoce,0.62842
Vehículos,8300,infobae,0.61246
precio,200,eldestape,0.61162
vacuna,429,telam,0.60765
Cristina,30,diariodeleuco,0.6
elección,30,diariodeleuco,0.6
distrito,2989,lanacion,0.59483
temperatura,2947,lanacion,0.58647
gobierno,408,telam,0.5779
cifras,2897,lanacion,0.57652
total,2885,lanacion,0.57413
lugar,2856,lanacion,0.56836
autoridad,2785,lanacion,0.55423
aumento,2773,lanacion,0.55184
leña,7470,infobae,0.55121
gol,5808,popular,0.54813
NACION,2754,lanacion,0.54806
OMS,2748,lanacion,0.54687
COVID,2741,lanacion,0.54547
enfermo,2740,lanacion,0.54527
gobierno,375,perfil,0.54269
kilo,5747,popular,0.54237
presidente,370,perfil,0.53546
presidente,741,clarin,0.52929
dni,2624,lanacion,0.52219
especialista,2600,lanacion,0.51741
test,2596,lanacion,0.51662
definición,2589,lanacion,0.51522
favor,2587,lanacion,0.51483
correo,2587,lanacion,0.51483
residencia,2581,lanacion,0.51363
factor,2580,lanacion,0.51343
nota,2574,lanacion,0.51224
alarma,2574,lanacion,0.51224
clic,2574,lanacion,0.51224
contabilización,2573,lanacion,0.51204
lndatalanacion,2573,lanacion,0.51204
sugerencia,2573,lanacion,0.51204
monitorear,2573,lanacion,0.51204
detallar,2573,lanacion,0.51204
discrepancia,2573,lanacion,0.51204
relevancia,2573,lanacion,0.51204
Síntomas,2573,lanacion,0.51204
tos,2538,lanacion,0.50507
causa,25,diariodeleuco,0.5
vacuna,6755,infobae,0.49845
Instagram,511,todonoticias,0.4966
Región,6640,infobae,0.48996
diputado,24,diariodeleuco,0.48
Diego,24,diariodeleuco,0.48
hijo,24,diariodeleuco,0.48
ministro,24,diariodeleuco,0.48
vacunación,24,diariodeleuco,0.48
gobierno,492,todonoticias,0.47813
presidente,348,paginadoce,0.47541
inicio,2371,lanacion,0.47184
vacuna,343,paginadoce,0.46858
Buenos Aires,2325,lanacion,0.46269
vacuna,474,todonoticias,0.46064
premio,4829,popular,0.45574
partido,6124,infobae,0.45189
dólar,618,clarin,0.44143
mujer,322,paginadoce,0.43989
humo,5810,infobae,0.42872
vacuna,140,eldestape,0.42813
Transporte,5705,infobae,0.42097
periodista,21,diariodeleuco,0.42
coronavirus,21,diariodeleuco,0.42
