palabra,freq,diario,por_noticia
febrero,2136,lanacion,0.54532
coronavirus,2043,lanacion,0.52157
Argentina,1760,lanacion,0.44932
febrero,1299,infobae,0.10794
aire,1248,infobae,0.10371
River,771,popular,0.10118
duda,634,popular,0.0832
campo,5,diariodeleuco,0.08197
gobierno,27,eldestape,0.07542
Buenos Aires,271,lanacion,0.06919
Úrsula,4,diariodeleuco,0.06557
Berni,4,diariodeleuco,0.06557
K,4,diariodeleuco,0.06557
Alberto,4,diariodeleuco,0.06557
coronavirus,74,clarin,0.05841
Newells,433,popular,0.05682
precio,19,eldestape,0.05307
coronavirus,19,eldestape,0.05307
Argentina,3,diariodeleuco,0.04918
policía,3,diariodeleuco,0.04918
hijo,3,diariodeleuco,0.04918
femicidio,3,diariodeleuco,0.04918
retención,3,diariodeleuco,0.04918
clase,3,diariodeleuco,0.04918
defensa,356,popular,0.04672
Febrero,179,lanacion,0.0457
calidad,532,infobae,0.04421
febrero,33,ambito,0.04388
dólar,508,infobae,0.04221
Salta,163,lanacion,0.04161
vacuna,27,telam,0.04116
Florencio Varela,312,popular,0.04094
precio,304,popular,0.0399
clase,30,ambito,0.03989
gobierno,303,popular,0.03976
gremio,302,popular,0.03963
salario,302,popular,0.03963
Lorenzo,301,popular,0.0395
Argentinos Juniors,301,popular,0.0395
cumbre,301,popular,0.0395
independiente,301,popular,0.0395
febrero,14,eldestape,0.03911
Hipódromo,294,popular,0.03858
pronóstico,147,lanacion,0.03753
clima,144,lanacion,0.03676
Argentina,13,eldestape,0.03631
US,275,popular,0.03609
gobierno,27,ambito,0.0359
clase,271,popular,0.03556
proyecto,269,popular,0.0353
partido,269,popular,0.0353
sábado,269,popular,0.0353
seguridad,269,popular,0.0353
bueno,269,popular,0.0353
móvil,268,popular,0.03517
racing,268,popular,0.03517
préstamo,268,popular,0.03517
refuerzo,268,popular,0.03517
Depro,268,popular,0.03517
diputado,268,popular,0.03517
técnico,268,popular,0.03517
Copa Argentina,268,popular,0.03517
Falcioni,268,popular,0.03517
semestre,268,popular,0.03517
certeza,268,popular,0.03517
Vicente López,268,popular,0.03517
Fabrizio Angileri,268,popular,0.03517
boleta,268,popular,0.03517
protocolo,268,popular,0.03517
final,268,popular,0.03517
Tarjeta,268,popular,0.03517
camino,268,popular,0.03517
oposición,268,popular,0.03517
apoyo,268,popular,0.03517
16vos,268,popular,0.03517
camiseta,268,popular,0.03517
juvenil,268,popular,0.03517
vacuna,12,eldestape,0.03352
coronavirus,54,todonoticias,0.03337
gobierno,22,perfil,0.03288
