palabra,freq,por_noticia,diario
febrero,2136,0.55,lanacion
coronavirus,2043,0.52,lanacion
Argentina,1760,0.45,lanacion
febrero,1299,0.11,infobae
aire,1248,0.10,infobae
River,771,0.10,popular
duda,634,0.08,popular
campo,5,0.08,diariodeleuco
gobierno,27,0.08,eldestape
Buenos Aires,271,0.07,lanacion
Úrsula,4,0.07,diariodeleuco
Berni,4,0.07,diariodeleuco
K,4,0.07,diariodeleuco
Alberto,4,0.07,diariodeleuco
coronavirus,74,0.06,clarin
Newells,433,0.06,popular
precio,19,0.05,eldestape
coronavirus,19,0.05,eldestape
Argentina,3,0.05,diariodeleuco
policía,3,0.05,diariodeleuco
hijo,3,0.05,diariodeleuco
femicidio,3,0.05,diariodeleuco
retención,3,0.05,diariodeleuco
clase,3,0.05,diariodeleuco
defensa,356,0.05,popular
Febrero,179,0.05,lanacion
calidad,532,0.04,infobae
febrero,33,0.04,ambito
dólar,508,0.04,infobae
Salta,163,0.04,lanacion
vacuna,27,0.04,telam
Florencio Varela,312,0.04,popular
precio,304,0.04,popular
clase,30,0.04,ambito
gobierno,303,0.04,popular
gremio,302,0.04,popular
salario,302,0.04,popular
Lorenzo,301,0.04,popular
Argentinos Juniors,301,0.04,popular
cumbre,301,0.04,popular
independiente,301,0.04,popular
febrero,14,0.04,eldestape
Hipódromo,294,0.04,popular
pronóstico,147,0.04,lanacion
clima,144,0.04,lanacion
Argentina,13,0.04,eldestape
US,275,0.04,popular
gobierno,27,0.04,ambito
clase,271,0.04,popular
proyecto,269,0.04,popular
partido,269,0.04,popular
sábado,269,0.04,popular
seguridad,269,0.04,popular
bueno,269,0.04,popular
móvil,268,0.04,popular
racing,268,0.04,popular
préstamo,268,0.04,popular
refuerzo,268,0.04,popular
Depro,268,0.04,popular
diputado,268,0.04,popular
técnico,268,0.04,popular
Copa Argentina,268,0.04,popular
Falcioni,268,0.04,popular
semestre,268,0.04,popular
certeza,268,0.04,popular
Vicente López,268,0.04,popular
Fabrizio Angileri,268,0.04,popular
boleta,268,0.04,popular
protocolo,268,0.04,popular
final,268,0.04,popular
Tarjeta,268,0.04,popular
camino,268,0.04,popular
oposición,268,0.04,popular
apoyo,268,0.04,popular
16vos,268,0.04,popular
camiseta,268,0.04,popular
juvenil,268,0.04,popular
vacuna,12,0.03,eldestape
coronavirus,54,0.03,todonoticias
gobierno,22,0.03,perfil
auto,53,0.03,todonoticias
Argentina,53,0.03,todonoticias
coronavirus,21,0.03,telam
vacuna,21,0.03,perfil
Macri,11,0.03,eldestape
Úrsula,11,0.03,eldestape
muerte,11,0.03,eldestape
Juan,118,0.03,lanacion
gobierno,19,0.03,telam
clase,19,0.03,perfil
dólar,21,0.03,ambito
femicidio,10,0.03,eldestape
cotización,336,0.03,infobae
Argentina,35,0.03,clarin
coronavirus,19,0.03,paginadoce
inflación,9,0.03,eldestape
proyecto,9,0.03,eldestape
presidente,16,0.02,telam
previsión,293,0.02,infobae
Atlético,177,0.02,popular
precio,15,0.02,telam
Australia,15,0.02,telam
coronavirus,17,0.02,ambito
precio,17,0.02,ambito
Condición,270,0.02,infobae
inflación,15,0.02,perfil
retención,8,0.02,eldestape
Alberto Fernández,8,0.02,eldestape
Alberto Fernández,28,0.02,clarin
Racing,165,0.02,popular
femicidio,14,0.02,telam
vuelta,16,0.02,ambito
canje,16,0.02,ambito
EEUU,248,0.02,infobae
vacuna,247,0.02,infobae
febrero,26,0.02,clarin
YPF,15,0.02,ambito
semana,13,0.02,telam
Abierto,13,0.02,telam
gobierno,25,0.02,clarin
coronavirus,237,0.02,infobae
Dólar,7,0.02,eldestape
Alberto,7,0.02,eldestape
clase,7,0.02,eldestape
coronavirus,13,0.02,perfil
Covid,13,0.02,perfil
candidato,148,0.02,popular
programa,148,0.02,popular
COVID,233,0.02,infobae
Plata,147,0.02,popular
resultado,147,0.02,popular
Números,147,0.02,popular
recomendados,147,0.02,popular
Diario,147,0.02,popular
Isidro,147,0.02,popular
muerte,230,0.02,infobae
vacuna,24,0.02,clarin
Rioja,74,0.02,lanacion
Justicia,143,0.02,popular
diputado,14,0.02,ambito
inflación,14,0.02,ambito
deuda,14,0.02,ambito
vacuna,14,0.02,ambito
acuerdo,14,0.02,ambito
Úrsula Bahillo,30,0.02,todonoticias
Alberto Fernández,13,0.02,paginadoce
dólar,23,0.02,clarin
incorporación,138,0.02,popular
Argentina,12,0.02,perfil
México,212,0.02,infobae
Aníbal Moreno,133,0.02,popular
amistosos,133,0.02,popular
Córdoba,133,0.02,popular
españoles,133,0.02,popular
fichaje,133,0.02,popular
Quimsa,132,0.02,popular
proyecto,13,0.02,ambito
ICAP,207,0.02,infobae
pandemia,207,0.02,infobae
juicio,11,0.02,telam
Buenos Aires,11,0.02,telam
Ganancias,6,0.02,eldestape
Morro García,6,0.02,eldestape
muerte,21,0.02,clarin
Úrsula,11,0.02,perfil
Úrsula Bahillo,11,0.02,perfil
precio,11,0.02,perfil
Ciudad,12,0.02,ambito
pandemia,12,0.02,ambito
Argentina,12,0.02,ambito
Luis,62,0.02,lanacion
historia,20,0.02,clarin
Ecuador,11,0.02,paginadoce
Argentina,11,0.02,paginadoce
acuerdo,11,0.02,paginadoce
gobierno,25,0.02,todonoticias
domingo,117,0.02,popular
Úrsula,10,0.02,telam
vacunación,10,0.02,telam
Sputnik,10,0.02,telam
Argentina,10,0.02,telam
acuerdo,10,0.02,telam
Gallardo,10,0.01,perfil
River,10,0.01,perfil
acuerdo,10,0.01,perfil
femicidio,10,0.01,perfil
foto,24,0.01,todonoticias
vacuna,24,0.01,todonoticias
femicidio,11,0.01,ambito
Covid,11,0.01,ambito
Wall Street,11,0.01,ambito
Bitcoin,11,0.01,ambito
general,56,0.01,lanacion
viernes,56,0.01,lanacion
femicidio,23,0.01,todonoticias
pandemia,18,0.01,clarin
clase,18,0.01,clarin
femicidio,18,0.01,clarin
precio,10,0.01,paginadoce
elección,10,0.01,paginadoce
