palabra,freq,por_noticia,diario
coronavirus,14200,3.63,lanacion
gobierno,99,1.62,diariodeleuco
restricción,17595,1.46,infobae
síntoma,5621,1.44,lanacion
departamento,4987,1.27,lanacion
pandemia,4689,1.20,lanacion
Argentina,4477,1.14,lanacion
dígito,13732,1.14,infobae
viernes,12419,1.03,infobae
lunes,12250,1.02,infobae
gobierno,363,1.01,eldestape
muertos,3927,1.00,lanacion
Salud,3826,0.98,lanacion
paciente,3784,0.97,lanacion
precio,341,0.95,eldestape
presidente,58,0.95,diariodeleuco
virus,3723,0.95,lanacion
dato,3667,0.94,lanacion
cambio,3596,0.92,lanacion
Ministerio,3528,0.90,lanacion
criterio,3503,0.89,lanacion
presencia,3487,0.89,lanacion
dificultad,3481,0.89,lanacion
Sello,10608,0.88,infobae
provincia,3446,0.88,lanacion
base,3343,0.85,lanacion
Argentina,52,0.85,diariodeleuco
partido,3297,0.84,lanacion
partido,6262,0.82,popular
cuenta,3130,0.80,lanacion
septiembre,9388,0.78,infobae
juez,46,0.75,diariodeleuco
Covid,2817,0.72,lanacion
foto,874,0.69,clarin
precio,42,0.69,diariodeleuco
febrero,2667,0.68,lanacion
nbsp,40,0.66,diariodeleuco
gobierno,460,0.65,paginadoce
presidente,226,0.63,eldestape
gobierno,406,0.62,telam
actividad,7253,0.60,infobae
fecha,2316,0.59,lanacion
semana,6938,0.58,infobae
campo,35,0.57,diariodeleuco
Calefactores,6864,0.57,infobae
calefactor,6864,0.57,infobae
Carga,6864,0.57,infobae
futbolista,4293,0.56,popular
hijo,34,0.56,diariodeleuco
distrito,2148,0.55,lanacion
NACION,2143,0.55,lanacion
gobierno,688,0.54,clarin
temperatura,2061,0.53,lanacion
lugar,2051,0.52,lanacion
Vehículos,6240,0.52,infobae
total,2028,0.52,lanacion
kilo,3918,0.51,popular
vacuna,31,0.51,diariodeleuco
cifras,1984,0.51,lanacion
autoridad,1970,0.50,lanacion
dólar,631,0.50,clarin
COVID,1923,0.49,lanacion
enfermo,1923,0.49,lanacion
condena,29,0.48,diariodeleuco
leña,5621,0.47,infobae
OMS,1829,0.47,lanacion
aumento,1813,0.46,lanacion
Corte,28,0.46,diariodeleuco
dni,1791,0.46,lanacion
plantel,3465,0.45,popular
vacuna,573,0.45,clarin
especialista,1760,0.45,lanacion
test,1755,0.45,lanacion
nota,1753,0.45,lanacion
factor,1751,0.45,lanacion
contrato,3403,0.45,popular
residencia,1749,0.45,lanacion
definición,1747,0.45,lanacion
favor,1739,0.44,lanacion
monitorear,1739,0.44,lanacion
discrepancia,1739,0.44,lanacion
lndatalanacion,1739,0.44,lanacion
clic,1739,0.44,lanacion
alarma,1739,0.44,lanacion
sugerencia,1739,0.44,lanacion
contabilización,1739,0.44,lanacion
Síntomas,1739,0.44,lanacion
detallar,1739,0.44,lanacion
correo,1739,0.44,lanacion
causa,27,0.44,diariodeleuco
relevancia,1729,0.44,lanacion
minuto,3324,0.44,popular
foto,702,0.43,todonoticias
gobierno,290,0.43,perfil
apuesto,3300,0.43,popular
sector,153,0.43,eldestape
justicia,26,0.43,diariodeleuco
mujer,152,0.42,eldestape
River,3222,0.42,popular
precio,300,0.42,paginadoce
gol,3188,0.42,popular
dólar,311,0.41,ambito
vacuna,267,0.41,telam
precio,300,0.40,ambito
Instagram,643,0.40,todonoticias
México,4748,0.39,infobae
clase,24,0.39,diariodeleuco
retención,24,0.39,diariodeleuco
gobierno,295,0.39,ambito
presidente,492,0.39,clarin
vacuna,4673,0.39,infobae
Región,4656,0.39,infobae
mercado,285,0.38,ambito
partido,4543,0.38,infobae
escuela,23,0.38,diariodeleuco
club,2837,0.37,popular
gobierno,4467,0.37,infobae
ministro,262,0.37,paginadoce
Nación,1438,0.37,lanacion
Cristina,22,0.36,diariodeleuco
dinero,22,0.36,diariodeleuco
decisión,22,0.36,diariodeleuco
diputado,22,0.36,diariodeleuco
ganador,2733,0.36,popular
mujer,253,0.36,paginadoce
Buenos Aires,1391,0.36,lanacion
provincia,127,0.35,eldestape
humo,4214,0.35,infobae
fiscal,21,0.34,diariodeleuco
chico,21,0.34,diariodeleuco
policía,21,0.34,diariodeleuco
derecho,21,0.34,diariodeleuco
precio,435,0.34,clarin
tos,1335,0.34,lanacion
Transporte,4074,0.34,infobae
Argentina,121,0.34,eldestape
vacuna,224,0.33,perfil
dólar,119,0.33,eldestape
infectar,1302,0.33,lanacion
Ciudad,20,0.33,diariodeleuco
vacuna,117,0.33,eldestape
ministro,116,0.32,eldestape
estadio,2447,0.32,popular
enfermedad,508,0.31,todonoticias
artículo,19,0.31,diariodeleuco
ministro,19,0.31,diariodeleuco
docente,19,0.31,diariodeleuco
argentinos,19,0.31,diariodeleuco
gobierno,2363,0.31,popular
semana,229,0.30,ambito
delantero,2313,0.30,popular
pandemia,198,0.30,telam
momento,484,0.30,todonoticias
juez,107,0.30,eldestape
presidente,195,0.30,telam
inicio,1161,0.30,lanacion
pandemia,18,0.30,diariodeleuco
Macri,18,0.30,diariodeleuco
Úrsula,18,0.30,diariodeleuco
política,18,0.30,diariodeleuco
presidente,209,0.29,paginadoce
partido,372,0.29,clarin
partícula,3513,0.29,infobae
interior,3500,0.29,infobae
estudio,470,0.29,todonoticias
pellet,3492,0.29,infobae
contaminante,3492,0.29,infobae
Copa,2167,0.28,popular
Villena,17,0.28,diariodeleuco
educación,17,0.28,diariodeleuco
febrero,17,0.28,diariodeleuco
