palabra,freq,por_noticia,diario
Argentina,634.00,13.15,Infobae
gobierno,1033.00,9.36,Infobae
vacuna,515.00,9.18,Infobae
agua,174.00,8.46,La Nación
presidente,803.00,7.03,Infobae
pandemia,281.00,7.02,Infobae
obra,246.00,5.96,La Nación
Shutterstock,113.00,5.96,Infobae
mujer,411.00,5.75,Infobae
precio,442.00,5.74,Infobae
casa,216.00,5.55,La Nación
kilómetro,413.00,5.53,La Nación
dosis,314.00,5.51,Infobae
enfermedad,107.00,5.50,Infobae
gobierno,856.00,5.42,La Nación
mercado,365.00,5.40,Infobae
mes,497.00,5.37,Infobae
vino,100.00,5.32,Infobae
presidente,804.00,5.31,La Nación
metro,90.00,5.22,La Nación
lugar,248.00,5.20,Infobae
productor,57.00,5.10,Infobae
Buenos Aires,270.00,4.98,Infobae
COVID,113.00,4.97,Infobae
ciudad,385.00,4.90,La Nación
dólar,643.00,4.82,Infobae
experiencia,95.00,4.81,Infobae
empleado,92.00,4.79,Infobae
gente,262.00,4.72,Infobae
cocina,39.00,4.70,La Nación
Martín,28.00,4.67,La Nación
momento,424.00,4.53,Infobae
manera,181.00,4.50,Infobae
sector,312.00,4.46,Infobae
producto,110.00,4.25,Infobae
producción,94.00,4.20,Infobae
cambio,170.00,4.18,Infobae
río,41.00,4.15,La Nación
obra,228.00,4.14,Infobae
familia,160.00,4.01,La Nación
zona,73.00,4.01,La Nación
Aldea Luna,24.00,4.00,La Nación
Gaudí,24.00,4.00,La Nación
papa,54.00,3.99,Infobae
auto,55.00,3.99,La Nación
momento,524.00,3.94,La Nación
hijo,480.00,3.94,Infobae
playa,53.00,3.94,La Nación
libro,187.00,3.88,Infobae
precio,325.00,3.88,La Nación
situación,158.00,3.85,Infobae
sistema,224.00,3.82,La Nación
mes,310.00,3.77,La Nación
camino,39.00,3.75,La Nación
lago,36.00,3.70,La Nación
yungas,22.00,3.67,La Nación
Argentina,552.00,3.66,La Nación
luz,69.00,3.61,La Nación
US,243.00,3.55,La Nación
salud,195.00,3.55,Infobae
través,120.00,3.51,Infobae
vacuna,710.00,3.47,La Nación
usd,453.00,3.41,Infobae
proyecto,222.00,3.38,Infobae
cosa,270.00,3.37,Infobae
Alberto Fernández,461.00,3.37,Infobae
virus,63.00,3.32,Infobae
provincia,263.00,3.30,Infobae
mujer,374.00,3.28,La Nación
motor,30.00,3.19,La Nación
dólar,445.00,3.08,La Nación
programa,271.00,3.04,Infobae
historia,194.00,3.03,Infobae
planta,26.00,3.02,Infobae
alquiler,123.00,3.00,La Nación
vacunación,183.00,2.95,Infobae
ministro,219.00,2.94,Infobae
marzo,238.00,2.93,Infobae
planta,43.00,2.91,La Nación
enero,107.00,2.91,Infobae
plato,81.00,2.90,Infobae
lugar,210.00,2.86,La Nación
contacto,51.00,2.85,Infobae
Salud,157.00,2.77,Infobae
relación,156.00,2.73,Infobae
paciente,51.00,2.68,Infobae
hidrógeno,16.00,2.67,La Nación
Elizabeth,16.00,2.67,La Nación
discurso,233.00,2.66,Infobae
contrato,144.00,2.65,La Nación
pareja,127.00,2.64,Infobae
juez,358.00,2.64,La Nación
cocina,64.00,2.61,Infobae
industria,44.00,2.60,Infobae
hijo,442.00,2.60,La Nación
propuesta,85.00,2.59,Infobae
leche,18.00,2.57,Infobae
exportación,63.00,2.57,Infobae
juez,354.00,2.52,Infobae
población,71.00,2.47,Infobae
pandemia,371.00,2.46,La Nación
coronavirus,82.00,2.45,Infobae
organización,51.00,2.42,Infobae
cliente,59.00,2.41,Infobae
valor,234.00,2.39,La Nación
hombre,139.00,2.38,Infobae
sistema,127.00,2.37,Infobae
temporada,302.00,2.34,La Nación
costa,14.00,2.33,La Nación
paisaje,14.00,2.33,La Nación
piel,42.00,2.33,Infobae
problema,124.00,2.33,Infobae
versión,72.00,2.32,La Nación
artista,103.00,2.27,La Nación
Crédito,36.00,2.25,Infobae
Boca,222.00,2.24,Infobae
museo,67.00,2.23,La Nación
modelo,121.00,2.23,La Nación
clase,32.00,2.23,La Nación
hierba,40.00,2.22,Infobae
febrero,398.00,2.20,La Nación
artista,113.00,2.19,Infobae
tratamiento,41.00,2.16,Infobae
niño,52.00,2.16,Infobae
arquitecto,18.00,2.15,La Nación
ambiente,42.00,2.13,Infobae
cadena,21.00,2.13,Infobae
gobierno,129.00,2.11,Le Doy Mi Palabra
tecnología,141.00,2.11,La Nación
calidad,27.00,2.11,Infobae
guanaco,38.00,2.11,Infobae
desarrollo,67.00,2.11,Infobae
Patrimonio,17.00,2.10,La Nación
vehículo,17.00,2.10,La Nación
turismo,16.00,2.10,La Nación
verano,16.00,2.10,La Nación
vista,16.00,2.10,La Nación
derecho,182.00,2.10,Infobae
ley,156.00,2.07,La Nación
hotel,26.00,2.06,La Nación
actividad,99.00,2.03,Infobae
unidad,83.00,2.03,La Nación
marzo,430.00,2.02,La Nación
Getty Images,12.00,2.00,La Nación
Lanín,12.00,2.00,La Nación
Unesco,12.00,2.00,La Nación
batería,12.00,2.00,La Nación
menú,12.00,2.00,La Nación
pollo,12.00,2.00,La Nación
edificio,28.00,2.00,La Nación
juego,162.00,1.96,La Nación
barrio,51.00,1.96,La Nación
nivel,75.00,1.95,Infobae
comunidad,37.00,1.94,La Nación
tonelada,21.00,1.92,Infobae
discurso,310.00,1.88,La Nación
partido,179.00,1.88,Infobae
bosque,85.00,1.86,La Nación
carga,74.00,1.85,La Nación
historia,298.00,1.84,La Nación
Audi,11.00,1.83,La Nación
marcha,11.00,1.83,La Nación
febrero,160.00,1.82,Infobae
riesgo,75.00,1.81,Infobae
nivel,74.00,1.80,La Nación
desafío,35.00,1.79,Infobae
casa,213.00,1.78,Infobae
tacto,32.00,1.78,Infobae
proyecto,151.00,1.78,La Nación
causa,176.00,1.78,La Nación
sociedad,109.00,1.77,Infobae
error,33.00,1.77,Infobae
arte,53.00,1.77,La Nación
libro,62.00,1.77,La Nación
dueño,21.00,1.76,La Nación
opción,37.00,1.76,La Nación
belleza,34.00,1.75,Infobae
cáncer,33.00,1.74,Infobae
uso,38.00,1.72,Infobae
cuerpo,53.00,1.72,Infobae
animal,44.00,1.71,Infobae
líder,43.00,1.71,Infobae
mercado,222.00,1.71,La Nación
sonido,21.00,1.70,La Nación
partido,525.00,1.69,La Nación
coronavirus,514.00,1.69,La Nación
Ministerio,92.00,1.68,Infobae
fin,85.00,1.67,Infobae
Montaner,10.00,1.67,La Nación
Morelia,10.00,1.67,La Nación
Paseo,10.00,1.67,La Nación
Pedrera,10.00,1.67,La Nación
corazón,10.00,1.67,La Nación
kayak,10.00,1.67,La Nación
sendero,10.00,1.67,La Nación
poder,169.00,1.65,Infobae
espacio,76.00,1.64,La Nación
Barcelona,69.00,1.64,La Nación
fuerza,99.00,1.64,La Nación
inquilino,67.00,1.63,La Nación
