palabra,freq,diario,por_noticia
Argentina,634,infobae,13.15182
gobierno,1033,infobae,9.36339
vacuna,515,infobae,9.18018
agua,174,lanacion,8.46265
presidente,803,infobae,7.02513
pandemia,281,infobae,7.02207
obra,246,lanacion,5.96335
Shutterstock,113,infobae,5.96014
mujer,411,infobae,5.75255
precio,442,infobae,5.73973
casa,216,lanacion,5.55345
kilómetro,413,lanacion,5.53378
dosis,314,infobae,5.50702
enfermedad,107,infobae,5.49815
gobierno,856,lanacion,5.42192
mercado,365,infobae,5.39636
mes,497,infobae,5.37352
vino,100,infobae,5.31696
presidente,804,lanacion,5.31172
metro,90,lanacion,5.21928
lugar,248,infobae,5.19926
productor,57,infobae,5.09761
Buenos Aires,270,infobae,4.98103
COVID,113,infobae,4.9652
ciudad,385,lanacion,4.90406
dólar,643,infobae,4.82212
experiencia,95,infobae,4.81189
empleado,92,infobae,4.79107
gente,262,infobae,4.72241
cocina,39,lanacion,4.70009
Martín,28,lanacion,4.66666
momento,424,infobae,4.52992
manera,181,infobae,4.49959
sector,312,infobae,4.46024
producto,110,infobae,4.25258
producción,94,infobae,4.20171
cambio,170,infobae,4.17626
río,41,lanacion,4.14722
obra,228,infobae,4.13514
familia,160,lanacion,4.01403
zona,73,lanacion,4.01016
Aldea Luna,24,lanacion,4
Gaudí,24,lanacion,4
papa,54,infobae,3.9937
auto,55,lanacion,3.99163
momento,524,lanacion,3.94404
hijo,480,infobae,3.93948
playa,53,lanacion,3.93572
libro,187,infobae,3.88382
precio,325,lanacion,3.87649
situación,158,infobae,3.84575
sistema,224,lanacion,3.82433
mes,310,lanacion,3.77148
camino,39,lanacion,3.75079
lago,36,lanacion,3.69819
yungas,22,lanacion,3.66666
Argentina,552,lanacion,3.65545
luz,69,lanacion,3.61144
US,243,lanacion,3.54736
salud,195,infobae,3.54681
través,120,infobae,3.51089
vacuna,710,lanacion,3.46627
usd,453,infobae,3.41309
proyecto,222,infobae,3.37553
cosa,270,infobae,3.36511
Alberto Fernández,461,infobae,3.36504
virus,63,infobae,3.31579
provincia,263,infobae,3.29879
mujer,374,lanacion,3.27781
motor,30,lanacion,3.19144
dólar,445,lanacion,3.07521
programa,271,infobae,3.03645
historia,194,infobae,3.0295
planta,26,infobae,3.01587
alquiler,123,lanacion,3
vacunación,183,infobae,2.9451
ministro,219,infobae,2.93833
marzo,238,infobae,2.93469
planta,43,lanacion,2.91473
enero,107,infobae,2.91242
plato,81,infobae,2.9007
lugar,210,lanacion,2.86238
contacto,51,infobae,2.85296
Salud,157,infobae,2.77162
relación,156,infobae,2.72997
paciente,51,infobae,2.68421
hidrógeno,16,lanacion,2.66667
Elizabeth,16,lanacion,2.66666
discurso,233,infobae,2.66018
contrato,144,lanacion,2.65055
pareja,127,infobae,2.64453
juez,358,lanacion,2.63899
cocina,64,infobae,2.61251
industria,44,infobae,2.60013
hijo,442,lanacion,2.5975
propuesta,85,infobae,2.59325
leche,18,infobae,2.57143
exportación,63,infobae,2.56884
juez,354,infobae,2.51799
población,71,infobae,2.46693
pandemia,371,lanacion,2.46267
coronavirus,82,infobae,2.4545
organización,51,infobae,2.42389
cliente,59,infobae,2.4106
valor,234,lanacion,2.38667
hombre,139,infobae,2.38146
sistema,127,infobae,2.36731
temporada,302,lanacion,2.341
costa,14,lanacion,2.33334
paisaje,14,lanacion,2.33334
piel,42,infobae,2.33334
problema,124,infobae,2.32779
versión,72,lanacion,2.3235
artista,103,lanacion,2.27077
Crédito,36,infobae,2.24975
Boca,222,infobae,2.24242
museo,67,lanacion,2.23333
modelo,121,lanacion,2.23041
clase,32,lanacion,2.22917
hierba,40,infobae,2.22222
febrero,398,lanacion,2.20158
artista,113,infobae,2.19173
tratamiento,41,infobae,2.15789
niño,52,infobae,2.15716
arquitecto,18,lanacion,2.14634
ambiente,42,infobae,2.12755
cadena,21,infobae,2.12699
gobierno,129,diariodeleuco,2.11475
tecnología,141,lanacion,2.11177
calidad,27,infobae,2.11112
guanaco,38,infobae,2.11112
desarrollo,67,infobae,2.11065
Patrimonio,17,lanacion,2.10204
vehículo,17,lanacion,2.10204
turismo,16,lanacion,2.09756
verano,16,lanacion,2.09756
vista,16,lanacion,2.09756
derecho,182,infobae,2.0968
ley,156,lanacion,2.06516
hotel,26,lanacion,2.0569
actividad,99,infobae,2.02915
unidad,83,lanacion,2.02766
marzo,430,lanacion,2.01592
Getty Images,12,lanacion,2
Lanín,12,lanacion,2
Unesco,12,lanacion,2
batería,12,lanacion,2
menú,12,lanacion,2
pollo,12,lanacion,2
edificio,28,lanacion,1.99861
juego,162,lanacion,1.96354
barrio,51,lanacion,1.95873
nivel,75,infobae,1.95017
comunidad,37,lanacion,1.94305
tonelada,21,infobae,1.92437
discurso,310,lanacion,1.88067
partido,179,infobae,1.87785
bosque,85,lanacion,1.8584
carga,74,lanacion,1.85341
historia,298,lanacion,1.83946
Audi,11,lanacion,1.83333
marcha,11,lanacion,1.83333
febrero,160,infobae,1.81947
riesgo,75,infobae,1.81121
nivel,74,lanacion,1.79619
desafío,35,infobae,1.79224
casa,213,infobae,1.78193
tacto,32,infobae,1.77778
proyecto,151,lanacion,1.77668
causa,176,lanacion,1.77618
sociedad,109,infobae,1.77219
error,33,infobae,1.77192
arte,53,lanacion,1.76667
libro,62,lanacion,1.76547
dueño,21,lanacion,1.76394
opción,37,lanacion,1.75982
belleza,34,infobae,1.75177
cáncer,33,infobae,1.73684
uso,38,infobae,1.72288
cuerpo,53,infobae,1.72104
animal,44,infobae,1.71391
líder,43,infobae,1.71312
mercado,222,lanacion,1.70621
sonido,21,lanacion,1.70009
partido,525,lanacion,1.69098
coronavirus,514,lanacion,1.69079
Ministerio,92,infobae,1.67841
fin,85,infobae,1.67332
Montaner,10,lanacion,1.66666
Morelia,10,lanacion,1.66666
Paseo,10,lanacion,1.66666
Pedrera,10,lanacion,1.66666
corazón,10,lanacion,1.66666
kayak,10,lanacion,1.66666
sendero,10,lanacion,1.66666
poder,169,infobae,1.64943
espacio,76,lanacion,1.64375
Barcelona,69,lanacion,1.64337
fuerza,99,lanacion,1.64185
inquilino,67,lanacion,1.63415
peso,179,infobae,1.6298
síntoma,36,infobae,1.62937
negocio,37,infobae,1.60596
prototipo,13,lanacion,1.59756
hectárea,58,lanacion,1.59677
medio,141,infobae,1.59629
sector,265,lanacion,1.58885
colaborador,27,infobae,1.57936
clima,22,infobae,1.57143
tambo,11,infobae,1.57143
trigo,11,infobae,1.57143
consumo,63,infobae,1.56924
acuerdo,311,lanacion,1.56753
necesidad,51,infobae,1.567
fachada,16,lanacion,1.56423
semana,321,lanacion,1.56094
orgasmo,28,infobae,1.55556
paladar,28,infobae,1.55556
tinto,28,infobae,1.55556
arte,87,infobae,1.54973
valor,93,infobae,1.54811
Estados,291,lanacion,1.53257
acuerdo,209,infobae,1.52617
presidente,93,diariodeleuco,1.52459
Brasil,45,infobae,1.52203
Tierra,46,lanacion,1.50445
autor,45,lanacion,1.5
amor,126,infobae,1.49472
crisis,61,infobae,1.49396
conflicto,19,infobae,1.4924
usuario,148,lanacion,1.48874
vivienda,61,lanacion,1.4878
altura,14,lanacion,1.47968
mapa,28,infobae,1.47368
fiscal,127,lanacion,1.47309
NACION,382,lanacion,1.46665
cabaña,13,lanacion,1.45529
Buenos Aires,92,lanacion,1.45528
foto,141,infobae,1.44693
abrazo,26,infobae,1.44444
piedra,13,lanacion,1.43538
tambero,10,infobae,1.42857
cultura,34,infobae,1.42553
planeta,42,lanacion,1.40158
familia,97,infobae,1.39708
personal,86,infobae,1.39638
inflación,220,infobae,1.39527
River,138,infobae,1.39394
Congreso,146,infobae,1.39101
protocolo,36,infobae,1.39094
Santiago,36,infobae,1.38655
energía,16,lanacion,1.38462
aumento,252,lanacion,1.38241
economía,184,infobae,1.37616
deuda,140,lanacion,1.37403
Alberto Fernández,218,lanacion,1.36931
Gracia,22,lanacion,1.36487
siglo,50,lanacion,1.36003
compañía,44,infobae,1.34902
escritor,46,lanacion,1.34706
generación,26,lanacion,1.3426
especie,36,infobae,1.33987
Chimehuin,8,lanacion,1.33334
Güell,8,lanacion,1.33334
Jesús María,8,lanacion,1.33334
Lluís Domènech,8,lanacion,1.33334
Log,8,lanacion,1.33334
Pau,8,lanacion,1.33334
Quila Quina,8,lanacion,1.33334
Tilquiza,8,lanacion,1.33334
estilo,8,lanacion,1.33334
guía,8,lanacion,1.33334
montaña,8,lanacion,1.33334
paraje,8,lanacion,1.33334
pie,8,lanacion,1.33334
quenelle,8,lanacion,1.33334
rafting,8,lanacion,1.33334
suite,8,lanacion,1.33334
cannabis,24,infobae,1.33334
puma,24,infobae,1.33334
tendencia,24,infobae,1.33334
Fórmula,8,lanacion,1.33333
Mans,8,lanacion,1.33333
noche,365,lanacion,1.32627
ley,174,infobae,1.32234
investigación,40,infobae,1.32122
chico,79,infobae,1.31131
club,135,infobae,1.31063
Estero,28,infobae,1.31063
Cristina,127,lanacion,1.31019
investigador,34,lanacion,1.30769
Ciudad,122,infobae,1.30712
jugador,133,infobae,1.29985
actor,395,lanacion,1.29634
estudio,27,infobae,1.29564
acción,50,infobae,1.29306
programa,281,lanacion,1.28934
beneficio,22,infobae,1.28571
cultivo,12,infobae,1.28571
medida,95,infobae,1.27757
capacidad,24,lanacion,1.27514
viaje,34,infobae,1.27163
animal,33,lanacion,1.26923
especie,46,lanacion,1.2623
pantalla,143,lanacion,1.24943
estrella,33,lanacion,1.24359
punto,67,infobae,1.23775
vacunación,195,lanacion,1.23721
madre,93,infobae,1.23654
provincia,189,lanacion,1.22958
víctima,66,lanacion,1.22536
jefe,166,infobae,1.223
carácter,22,infobae,1.22222
etiqueta,22,infobae,1.22222
inteligencia,22,infobae,1.22222
política,134,infobae,1.22212
género,23,infobae,1.22003
aumento,164,infobae,1.21588
gobierno,425,eldestape,1.21429
padre,102,infobae,1.2113
carne,67,infobae,1.20785
ejemplo,46,infobae,1.20593
muerte,83,infobae,1.20373
futbol,122,infobae,1.20223
FMI,196,infobae,1.19722
viento,528,lanacion,1.18919
imagen,80,lanacion,1.182
cielo,393,lanacion,1.17481
cosa,232,lanacion,1.16928
Nm,7,lanacion,1.16667
potencia,7,lanacion,1.16667
ciudad,39,infobae,1.1587
caída,56,infobae,1.15834
padre,128,lanacion,1.15405
ingreso,134,infobae,1.14984
compañía,129,lanacion,1.14926
paso,25,infobae,1.14658
plataforma,31,infobae,1.14088
información,232,lanacion,1.1407
espacio,63,infobae,1.13783
campo,25,infobae,1.13698
muestra,34,lanacion,1.13333
película,77,infobae,1.12766
GPTW,18,infobae,1.12699
infectados,342,lanacion,1.125
Formosa,103,infobae,1.11581
director,43,infobae,1.11308
Hilton,20,infobae,1.11112
Malbec,20,infobae,1.11112
chefs,20,infobae,1.11112
cuckolding,20,infobae,1.11112
diabetes,20,infobae,1.11112
fruta,20,infobae,1.11112
gastronomía,20,infobae,1.11112
red,64,infobae,1.1093
miembro,31,infobae,1.1057
SARS,21,infobae,1.10526
propietario,45,lanacion,1.09756
cuenta,111,lanacion,1.09672
Justicia,144,lanacion,1.09476
personaje,59,infobae,1.08983
estrategia,20,infobae,1.08771
premio,160,lanacion,1.08512
costo,43,infobae,1.08211
Cristina,66,diariodeleuco,1.08197
juez,66,diariodeleuco,1.08197
serie,64,infobae,1.08039
deuda,169,infobae,1.07774
tipo,59,infobae,1.07284
presidente,375,eldestape,1.07143
poder,124,lanacion,1.0704
Brasil,289,lanacion,1.06532
Banco,129,infobae,1.06528
actor,150,infobae,1.06383
Fernández,179,lanacion,1.06382
uso,68,lanacion,1.05478
CoV,20,infobae,1.05263
comunicación,23,infobae,1.05014
bono,174,infobae,1.04819
contexto,35,infobae,1.04698
propiedad,49,lanacion,1.04692
velocidad,452,lanacion,1.04605
práctica,19,infobae,1.04094
palabra,70,lanacion,1.03864
transmisión,10,lanacion,1.03704
aislamiento,26,infobae,1.03646
vacuna,63,diariodeleuco,1.03279
estadio,72,infobae,1.02499
salud,148,lanacion,1.0249
mano,35,infobae,1.02171
semilla,12,infobae,1.01587
grado,447,lanacion,1.00676
Salud,244,lanacion,1.00522
hombre,127,lanacion,1.00104
ACO,6,lanacion,1
F1,6,lanacion,1
Floris Leeuwenberg,18,infobae,1
High Cuisine,18,infobae,1
Sputnik,19,infobae,1
consumidor,18,infobae,1
gesto,18,infobae,1
hectárea,7,infobae,1
prioridad,18,infobae,1
sensación,18,infobae,1
uva,18,infobae,1
vih,19,infobae,1
partido,11410,popular,0.99956
hermano,114,infobae,0.99704
resultado,18,infobae,0.98831
electricidad,9,lanacion,0.98718
clima,438,lanacion,0.98649
dólar,60,diariodeleuco,0.98361
lluvia,391,lanacion,0.98026
jugador,306,lanacion,0.97983
final,94,infobae,0.97713
manera,201,lanacion,0.97106
final,326,lanacion,0.97024
clave,24,infobae,0.96969
Poder,124,infobae,0.96875
director,63,lanacion,0.958
escritor,45,infobae,0.95745
política,146,lanacion,0.95406
marca,20,infobae,0.9477
cuello,18,infobae,0.94737
carrera,42,lanacion,0.94433
diseño,75,lanacion,0.9337
Banco Ciudad,13,infobae,0.92857
crédito,46,infobae,0.92763
semana,140,infobae,0.92623
Diego,125,infobae,0.92502
investigación,71,lanacion,0.92471
periodista,128,lanacion,0.92331
exposición,30,infobae,0.92049
pintura,31,lanacion,0.91707
jefe,111,lanacion,0.91566
nombre,98,lanacion,0.91356
ciclo,64,infobae,0.9078
causa,167,infobae,0.90174
literatura,46,infobae,0.90148
juicio,127,infobae,0.90091
fiscal,121,infobae,0.89736
ganador,166,lanacion,0.89487
futuro,18,lanacion,0.8938
Nación,101,infobae,0.89266
colección,36,lanacion,0.88919
Fayer,16,infobae,0.88888
Tucker,16,infobae,0.88888
ingrediente,16,infobae,0.88888
mayoría,16,infobae,0.88888
paro,12,infobae,0.88839
amigo,72,infobae,0.88587
restaurante,29,infobae,0.88479
hecho,67,infobae,0.88246
Cultura,50,infobae,0.86554
Congreso,144,lanacion,0.86081
dosis,225,lanacion,0.86035
cultura,33,lanacion,0.85765
Cañuelas,6,infobae,0.85714
Mariana,6,infobae,0.85714
Nicaragua,12,infobae,0.85714
dueño,6,infobae,0.85714
emprendimiento,6,infobae,0.85714
gremio,6,infobae,0.85714
lechuga,6,infobae,0.85714
domingo,40,infobae,0.85106
gobierno,645,perfil,0.84646
Universidad,22,lanacion,0.84615
obesidad,16,infobae,0.84211
vista,14,infobae,0.84127
reunión,44,infobae,0.83727
teatro,44,infobae,0.83688
Bronco,5,lanacion,0.83333
H2,5,lanacion,0.83333
KERS,5,lanacion,0.83333
Oreca,5,lanacion,0.83333
Sport,5,lanacion,0.83333
circuito,5,lanacion,0.83333
freno,5,lanacion,0.83333
kWh,5,lanacion,0.83333
kgm,5,lanacion,0.83333
pila,5,lanacion,0.83333
quattro,5,lanacion,0.83333
Alejandro,13,infobae,0.83194
minuto,231,lanacion,0.83002
tipo,65,lanacion,0.83
texto,39,infobae,0.82979
construcción,35,lanacion,0.82977
Fernández,32,infobae,0.82699
inversión,101,lanacion,0.823
iniciativa,16,infobae,0.82198
Cristina Kirchner,144,infobae,0.81678
música,53,infobae,0.8156
WhatsApp,88,lanacion,0.81481
juicio,53,lanacion,0.81376
tarifas,96,infobae,0.81272
diciembre,48,infobae,0.80836
categoría,26,infobae,0.80807
Sol,21,lanacion,0.80769
recurso,46,infobae,0.80766
película,175,lanacion,0.80662
ministro,171,lanacion,0.80295
plan,53,infobae,0.80207
gobierno,588,paginadoce,0.80109
Museo,24,lanacion,0.8
participante,58,infobae,0.79905
sala,37,lanacion,0.79826
idea,28,infobae,0.79112
doctor,28,infobae,0.7909
lado,44,infobae,0.79055
inversor,11,infobae,0.78571
línea,51,infobae,0.7839
derecho,97,lanacion,0.78296
