palabra,freq,por_noticia,diario
Argentina,30.00,0.88,Infobae
Marzo,176.00,0.55,La Nación
marzo,189.00,0.49,La Nación
gobierno,57.00,0.36,Infobae
pronóstico,148.00,0.33,La Nación
clima,145.00,0.33,La Nación
alquiler,13.00,0.32,La Nación
pandemia,12.00,0.29,Infobae
partido,91.00,0.27,La Nación
COVID,5.00,0.26,Infobae
vacuna,13.00,0.26,Infobae
casa,11.00,0.25,La Nación
Alberto Fernández,43.00,0.22,Infobae
jornada,75.00,0.22,La Nación
River,22.00,0.22,Infobae
Boca,21.00,0.21,Infobae
Alberto Fernández,44.00,0.21,La Nación
coronavirus,62.00,0.21,La Nación
hallazgo,5.00,0.19,La Nación
precio,20.00,0.19,La Nación
gobierno,29.00,0.18,La Nación
historia,19.00,0.17,Infobae
dólar,29.00,0.17,Infobae
belleza,7.00,0.15,Infobae
vivienda,6.00,0.15,La Nación
discurso,16.00,0.14,Infobae
sesión,29.00,0.13,La Nación
arte,4.00,0.13,La Nación
museo,4.00,0.13,La Nación
hijo,20.00,0.13,La Nación
vip,14.00,0.13,Infobae
Horóscopo,56.00,0.13,La Nación
apertura,26.00,0.12,La Nación
Argentina,27.00,0.12,La Nación
FMI,20.00,0.12,Infobae
jueves,52.00,0.12,La Nación
mujer,9.00,0.12,La Nación
ciudad,49.00,0.11,La Nación
dólar,20.00,0.11,La Nación
carta,7.00,0.10,La Nación
lector,7.00,0.10,La Nación
mercado,17.00,0.10,Infobae
femicidio,5.00,0.10,La Nación
policía,5.00,0.10,La Nación
Italia,33.00,0.10,La Nación
Alberto,6.00,0.10,Le Doy Mi Palabra
Samsung,10.00,0.09,La Nación
vacuna,24.00,0.09,La Nación
sábado,40.00,0.09,La Nación
Francia,29.00,0.09,La Nación
arte,4.00,0.09,Infobae
libro,4.00,0.09,Infobae
muestra,4.00,0.09,Infobae
Febrero,29.00,0.08,La Nación
Cristina Kirchner,18.00,0.08,La Nación
Cristina Kirchner,16.00,0.08,Infobae
Villa,4.00,0.08,La Nación
Racing,8.00,0.08,Infobae
final,8.00,0.08,Infobae
Hipódromo,911.00,0.08,Popular
Masterchef Celebrity,11.00,0.08,Infobae
Cristina,8.00,0.08,La Nación
coronavirus,100.00,0.07,Clarín
Claypole,7.00,0.07,Infobae
formación,7.00,0.07,Infobae
Congreso,14.00,0.07,La Nación
Formosa,13.00,0.07,Infobae
resultado,30.00,0.07,La Nación
precio,11.00,0.07,Infobae
juez,4.00,0.07,Le Doy Mi Palabra
pase,4.00,0.07,Le Doy Mi Palabra
gobierno,4.00,0.07,Le Doy Mi Palabra
Asamblea,12.00,0.06,Infobae
oposición,12.00,0.06,Infobae
Copa Argentina,6.00,0.06,Infobae
Formosa,13.00,0.06,La Nación
presidente,13.00,0.06,La Nación
local,20.00,0.06,La Nación
Brasil,18.00,0.06,La Nación
Oro,19.00,0.06,La Nación
causa,11.00,0.06,Infobae
hijo,8.00,0.06,Infobae
