palabra,freq,diario,por_noticia
Argentina,30,infobae,0.8804
Marzo,176,lanacion,0.54732
marzo,189,lanacion,0.48728
gobierno,57,infobae,0.35525
pronóstico,148,lanacion,0.33333
clima,145,lanacion,0.32658
alquiler,13,lanacion,0.31707
pandemia,12,infobae,0.29345
partido,91,lanacion,0.27083
COVID,5,infobae,0.26316
vacuna,13,infobae,0.25741
casa,11,lanacion,0.25236
Alberto Fernández,43,infobae,0.22396
jornada,75,lanacion,0.22321
River,22,infobae,0.22222
Boca,21,infobae,0.21212
Alberto Fernández,44,lanacion,0.20971
coronavirus,62,lanacion,0.20939
hallazgo,5,lanacion,0.19231
precio,20,lanacion,0.18547
gobierno,29,lanacion,0.17847
historia,19,infobae,0.17325
dólar,29,infobae,0.1698
belleza,7,infobae,0.14894
vivienda,6,lanacion,0.14634
discurso,16,infobae,0.14359
sesión,29,lanacion,0.13488
arte,4,lanacion,0.13333
museo,4,lanacion,0.13333
hijo,20,lanacion,0.13026
vip,14,infobae,0.12991
Horóscopo,56,lanacion,0.12613
apertura,26,lanacion,0.12093
Argentina,27,lanacion,0.12025
FMI,20,infobae,0.11722
jueves,52,lanacion,0.11712
mujer,9,lanacion,0.1152
ciudad,49,lanacion,0.11036
dólar,20,lanacion,0.10989
carta,7,lanacion,0.10294
lector,7,lanacion,0.10294
mercado,17,infobae,0.10241
femicidio,5,lanacion,0.10204
policía,5,lanacion,0.10204
Italia,33,lanacion,0.10072
Alberto,6,diariodeleuco,0.09836
Samsung,10,lanacion,0.09259
vacuna,24,lanacion,0.09256
sábado,40,lanacion,0.09009
Francia,29,lanacion,0.08819
arte,4,infobae,0.08511
libro,4,infobae,0.08511
muestra,4,infobae,0.08511
Febrero,29,lanacion,0.08398
Cristina Kirchner,18,lanacion,0.08372
Cristina Kirchner,16,infobae,0.08333
Villa,4,lanacion,0.08163
Racing,8,infobae,0.08081
final,8,infobae,0.08081
Hipódromo,911,popular,0.07981
Masterchef Celebrity,11,infobae,0.07801
Cristina,8,lanacion,0.07742
coronavirus,100,clarin,0.07452
Claypole,7,infobae,0.07071
formación,7,infobae,0.07071
Congreso,14,lanacion,0.06849
Formosa,13,infobae,0.06771
resultado,30,lanacion,0.06757
precio,11,infobae,0.06627
juez,4,diariodeleuco,0.06557
pase,4,diariodeleuco,0.06557
gobierno,4,diariodeleuco,0.06557
