diario,categoria,desde,hasta,total,por_dia
Infobae,internacional,20210228,20210306,12279,1754.14
Popular,varios,20210228,20210306,5650,807.14
Popular,deportes,20210228,20210306,5552,793.14
La Nación,sociedad,20210228,20210306,2511,358.71
La Nación,lifestyle,20210228,20210306,444,63.43
La Nación,deportes,20210228,20210306,336,48.00
La Nación,espectaculos,20210228,20210306,329,47.00
La Nación,internacional,20210228,20210306,304,43.43
Clarín,internacional,20210228,20210306,230,32.86
Clarín,politica,20210228,20210306,226,32.29
La Nación,politica,20210228,20210306,215,30.71
Perfil,politica,20210228,20210306,211,30.14
Infobae,politica,20210228,20210306,192,27.43
Ámbito,politica,20210228,20210306,188,26.86
La Nación,economia,20210228,20210306,182,26.00
Clarín,deportes,20210228,20210306,171,24.43
Infobae,economia,20210228,20210306,166,23.71
El Destape,politica,20210228,20210306,164,23.43
TN,espectaculos,20210228,20210306,164,23.43
Página 12,politica,20210228,20210306,161,23.00
Ámbito,sociedad,20210228,20210306,157,22.43
Télam,politica,20210228,20210306,157,22.43
TN,politica,20210228,20210306,152,21.71
Infobae,espectaculos,20210228,20210306,141,20.14
TN,deportes,20210228,20210306,141,20.14
Página 12,sociedad,20210228,20210306,128,18.29
Clarín,economia,20210228,20210306,127,18.14
Clarín,sociedad,20210228,20210306,126,18.00
Perfil,economia,20210228,20210306,125,17.86
Perfil,deportes,20210228,20210306,124,17.71
Infobae,sociedad,20210228,20210306,119,17.00
Télam,sociedad,20210228,20210306,119,17.00
Télam,deportes,20210228,20210306,117,16.71
Página 12,rosario12,20210228,20210306,111,15.86
La Nación,tecnologia,20210228,20210306,108,15.43
Télam,internacional,20210228,20210306,105,15.00
Ámbito,deportes,20210228,20210306,102,14.57
Infobae,deportes,20210228,20210306,99,14.14
TN,sociedad,20210228,20210306,95,13.57
Ámbito,economia,20210228,20210306,92,13.14
Página 12,deportes,20210228,20210306,91,13.00
TN,internacional,20210228,20210306,90,12.86
Perfil,espectaculos,20210228,20210306,83,11.86
Ámbito,internacional,20210228,20210306,81,11.57
Ámbito,finanzas,20210228,20210306,78,11.14
Página 12,economia,20210228,20210306,76,10.86
Clarín,espectaculos,20210228,20210306,75,10.71
El Destape,economia,20210228,20210306,75,10.71
Infobae,opinion,20210228,20210306,68,9.71
La Nación,opinion,20210228,20210306,68,9.71
Página 12,internacional,20210228,20210306,66,9.43
Clarín,rural,20210228,20210306,64,9.14
Popular,politica,20210228,20210306,63,9.00
Télam,economia,20210228,20210306,60,8.57
Clarín,policiales,20210228,20210306,59,8.43
TN,tecno,20210228,20210306,59,8.43
TN,economia,20210228,20210306,57,8.14
TN,policiales,20210228,20210306,57,8.14
TN,estilo,20210228,20210306,56,8.00
Le Doy Mi Palabra,todo,20210228,20210306,55,7.86
Página 12,espectaculos,20210228,20210306,55,7.86
Popular,general,20210228,20210306,55,7.86
Clarín,opinion,20210228,20210306,53,7.57
TN,musica,20210228,20210306,53,7.57
Clarín,tecnologia,20210228,20210306,49,7.00
El Destape,sociedad,20210228,20210306,49,7.00
La Nación,seguridad,20210228,20210306,49,7.00
Ámbito,espectaculos,20210228,20210306,48,6.86
Télam,espectaculos,20210228,20210306,48,6.86
TN,salud,20210228,20210306,48,6.86
Infobae,cultura,20210228,20210306,47,6.71
Perfil,internacional,20210228,20210306,47,6.71
Perfil,sociedad,20210228,20210306,47,6.71
Ámbito,negocios,20210228,20210306,43,6.14
Perfil,opinion,20210228,20210306,42,6.00
La Nación,propiedades,20210228,20210306,41,5.86
Popular,policiales,20210228,20210306,40,5.71
Popular,internacionales,20210228,20210306,35,5.00
Ámbito,nacional,20210228,20210306,34,4.86
Télam,policiales,20210228,20210306,34,4.86
El Destape,deportes,20210228,20210306,32,4.57
Télam,conosur,20210228,20210306,32,4.57
La Nación,cultura,20210228,20210306,30,4.29
Clarín,ciudades,20210228,20210306,28,4.00
Clarín,cultura,20210228,20210306,27,3.86
La Nación,ciencia,20210228,20210306,26,3.71
Popular,espectaculos,20210228,20210306,26,3.71
Ámbito,opinion,20210228,20210306,25,3.57
Clarín,revista-n,20210228,20210306,25,3.57
Clarín,viajes,20210228,20210306,24,3.43
El Destape,cultura,20210228,20210306,22,3.14
TN,autos,20210228,20210306,22,3.14
Perfil,salud,20210228,20210306,21,3.00
Infobae,salud,20210228,20210306,19,2.71
Clarín,buena-vida,20210228,20210306,18,2.57
Infobae,tendencias,20210228,20210306,18,2.57
Télam,cultura,20210228,20210306,18,2.57
Perfil,ciencia,20210228,20210306,17,2.43
Perfil,tecnologia,20210228,20210306,17,2.43
Clarín,autos,20210228,20210306,16,2.29
Infobae,inhouse,20210228,20210306,14,2.00
Perfil,cultura,20210228,20210306,14,2.00
Perfil,policiales,20210228,20210306,14,2.00
Página 12,las12,20210228,20210306,13,1.86
Popular,economia,20210228,20210306,13,1.86
Télam,latinoamerica,20210228,20210306,13,1.86
Popular,horoscopo,20210228,20210306,12,1.71
Popular,tecnologia,20210228,20210306,12,1.71
Página 12,universidad,20210228,20210306,11,1.57
Ámbito,lifestyle,20210228,20210306,10,1.43
Clarín,viva,20210228,20210306,10,1.43
Popular,salud,20210228,20210306,9,1.29
TN,opinion,20210228,20210306,9,1.29
Clarín,cartas-al-pais,20210228,20210306,8,1.14
El Destape,internacional,20210228,20210306,8,1.14
Infobae,campo,20210228,20210306,7,1.00
Página 12,no,20210228,20210306,7,1.00
Página 12,soy,20210228,20210306,7,1.00
Ámbito,novedades-fiscales,20210228,20210306,6,0.86
Clarín,arq,20210228,20210306,6,0.86
Le Doy Mi Palabra,editorial,20210228,20210306,6,0.86
La Nación,autos,20210228,20210306,6,0.86
La Nación,turismo,20210228,20210306,6,0.86
Télam,turismo,20210228,20210306,5,0.71
Casa Rosada,todo,20210228,20210306,4,0.57
La Nación,buenos-aires,20210228,20210306,4,0.57
La Nación,salud,20210228,20210306,3,0.43
La Nación,comunidad,20210228,20210306,2,0.29
Página 12,la ventana,20210228,20210306,2,0.29
Página 12,plastica,20210228,20210306,2,0.29
Página 12,psicologia,20210228,20210306,2,0.29
Página 12,radar,20210228,20210306,2,0.29
