palabra,freq,diario,por_noticia
especialista,2234,lanacion,0.47899
gobierno,484,todonoticias,0.47873
nota,2231,lanacion,0.47834
definición,2231,lanacion,0.47834
favor,2228,lanacion,0.4777
clic,2227,lanacion,0.47749
contabilización,2227,lanacion,0.47749
lndatalanacion,2227,lanacion,0.47749
discrepancia,2227,lanacion,0.47749
detallar,2227,lanacion,0.47749
test,2227,lanacion,0.47749
alarma,2227,lanacion,0.47749
Síntomas,2227,lanacion,0.47749
monitorear,2227,lanacion,0.47749
sugerencia,2227,lanacion,0.47749
relevancia,2213,lanacion,0.47449
presidente,295,telam,0.46603
infectar,2070,lanacion,0.44383
Nación,2059,lanacion,0.44147
inicio,2055,lanacion,0.44061
provincia,166,eldestape,0.43684
reporte,2028,lanacion,0.43482
Leuco,30,diariodeleuco,0.43478
juez,30,diariodeleuco,0.43478
Región,5432,infobae,0.42927
momento,29,diariodeleuco,0.42029
dosis,159,eldestape,0.41842
Instagram,418,todonoticias,0.41345
presidente,288,perfil,0.40678
dosis,545,clarin,0.40581
ministro,252,telam,0.3981
momento,402,todonoticias,0.39763
vacunación,299,paginadoce,0.39708
ganador,3803,popular,0.39557
gobierno,316,ambito,0.39157
dólar,525,clarin,0.39092
tos,1761,lanacion,0.37757
Argentina,26,diariodeleuco,0.37681
Transporte,4739,infobae,0.37451
humo,4683,infobae,0.37008
presidente,492,clarin,0.36634
vacunación,231,telam,0.36493
Ciudad,25,diariodeleuco,0.36232
Ministerio,25,diariodeleuco,0.36232
kilo,3424,popular,0.35615
hijo,358,todonoticias,0.3541
dosis,222,telam,0.35071
dólar,281,ambito,0.3482
diario,24,diariodeleuco,0.34783
presidente,258,paginadoce,0.34263
Ginés González García,1597,lanacion,0.34241
partido,4312,infobae,0.34076
México,4301,infobae,0.33989
hijo,23,diariodeleuco,0.33333
fiscal,23,diariodeleuco,0.33333
Mirtha,23,diariodeleuco,0.33333
acuerdo,126,eldestape,0.33158
ministro,445,clarin,0.33135
apuesto,3180,popular,0.33077
coronavirus,208,telam,0.32859
Argentina,208,telam,0.32859
cartera,1522,lanacion,0.32633
interior,4038,infobae,0.31911
Báez,22,diariodeleuco,0.31884
pellet,4014,infobae,0.31721
partícula,4009,infobae,0.31682
contaminante,4008,infobae,0.31674
vacunación,425,clarin,0.31646
Boca,120,eldestape,0.31579
dosis,315,todonoticias,0.31157
pandemia,194,telam,0.30648
condena,21,diariodeleuco,0.30435
lavado,21,diariodeleuco,0.30435
Lázaro,21,diariodeleuco,0.30435
marzo,3842,infobae,0.30362
gol,2890,popular,0.3006
mujer,226,paginadoce,0.30013
gobierno,3780,infobae,0.29872
