diario,categoria,desde,hasta,total,por_dia
La Nación,opinion,20210221,20210227,68,9.71
Télam,economia,20210221,20210227,67,9.57
El Destape,sociedad,20210221,20210227,66,9.43
Página 12,internacional,20210221,20210227,65,9.29
TN,salud,20210221,20210227,65,9.29
La Nación,seguridad,20210221,20210227,64,9.14
Perfil,opinion,20210221,20210227,63,9.00
Popular,politica,20210221,20210227,62,8.86
Clarín,rural,20210221,20210227,61,8.71
Infobae,opinion,20210221,20210227,61,8.71
La Nación,cultura,20210221,20210227,61,8.71
Le Doy Mi Palabra,todo,20210221,20210227,60,8.57
TN,policiales,20210221,20210227,60,8.57
Perfil,internacional,20210221,20210227,58,8.29
TN,economia,20210221,20210227,58,8.29
TN,tecno,20210221,20210227,56,8.00
TN,musica,20210221,20210227,54,7.71
Ámbito,finanzas,20210221,20210227,53,7.57
TN,estilo,20210221,20210227,52,7.43
La Nación,propiedades,20210221,20210227,50,7.14
Página 12,espectaculos,20210221,20210227,50,7.14
Ámbito,internacional,20210221,20210227,49,7.00
Ámbito,espectaculos,20210221,20210227,48,6.86
Clarín,tecnologia,20210221,20210227,48,6.86
Clarín,opinion,20210221,20210227,47,6.71
Clarín,policiales,20210221,20210227,44,6.29
Télam,policiales,20210221,20210227,40,5.71
Infobae,cultura,20210221,20210227,39,5.57
Popular,internacionales,20210221,20210227,38,5.43
El Destape,deportes,20210221,20210227,37,5.29
Ámbito,negocios,20210221,20210227,35,5.00
Perfil,sociedad,20210221,20210227,35,5.00
Ámbito,nacional,20210221,20210227,33,4.71
Popular,general,20210221,20210227,32,4.57
Télam,espectaculos,20210221,20210227,32,4.57
Popular,policiales,20210221,20210227,30,4.29
La Nación,autos,20210221,20210227,27,3.86
Télam,latinoamerica,20210221,20210227,26,3.71
Clarín,ciudades,20210221,20210227,25,3.57
Popular,salud,20210221,20210227,25,3.57
Clarín,cultura,20210221,20210227,24,3.43
El Destape,cultura,20210221,20210227,24,3.43
Ámbito,opinion,20210221,20210227,23,3.29
Clarín,buena-vida,20210221,20210227,22,3.14
La Nación,ciencia,20210221,20210227,22,3.14
Perfil,policiales,20210221,20210227,22,3.14
Popular,espectaculos,20210221,20210227,22,3.14
Clarín,revista-n,20210221,20210227,21,3.00
TN,autos,20210221,20210227,21,3.00
La Nación,turismo,20210221,20210227,20,2.86
Perfil,cultura,20210221,20210227,20,2.86
Clarín,viajes,20210221,20210227,17,2.43
Infobae,salud,20210221,20210227,16,2.29
Popular,economia,20210221,20210227,16,2.29
Popular,horoscopo,20210221,20210227,14,2.00
Télam,conosur,20210221,20210227,14,2.00
Télam,cultura,20210221,20210227,14,2.00
Popular,tecnologia,20210221,20210227,13,1.86
Clarín,autos,20210221,20210227,10,1.43
Infobae,tendencias,20210221,20210227,10,1.43
La Nación,buenos-aires,20210221,20210227,10,1.43
Le Doy Mi Palabra,editorial,20210221,20210227,9,1.29
Infobae,campo,20210221,20210227,9,1.29
La Nación,moda-y-belleza,20210221,20210227,9,1.29
Página 12,no,20210221,20210227,9,1.29
Ámbito,novedades-fiscales,20210221,20210227,8,1.14
Clarín,viva,20210221,20210227,8,1.14
El Destape,internacional,20210221,20210227,8,1.14
La Nación,comunidad,20210221,20210227,8,1.14
TN,opinion,20210221,20210227,8,1.14
Clarín,cartas-al-pais,20210221,20210227,7,1.00
Infobae,inhouse,20210221,20210227,7,1.00
Perfil,tecnologia,20210221,20210227,6,0.86
Casa Rosada,todo,20210221,20210227,5,0.71
Clarín,arq,20210221,20210227,5,0.71
Página 12,radar,20210221,20210227,5,0.71
Perfil,salud,20210221,20210227,5,0.71
Télam,turismo,20210221,20210227,5,0.71
Ámbito,lifestyle,20210221,20210227,3,0.43
Página 12,cultura,20210221,20210227,3,0.43
Página 12,radar libros,20210221,20210227,3,0.43
Perfil,ciencia,20210221,20210227,3,0.43
La Nación,salud,20210221,20210227,2,0.29
Página 12,la ventana,20210221,20210227,2,0.29
Página 12,psicologia,20210221,20210227,2,0.29
Página 12,ciencia,20210221,20210227,1,0.14
Página 12,las12,20210221,20210227,1,0.14
Página 12,plastica,20210221,20210227,1,0.14
Télam,provincias,20210221,20210227,1,0.14
