diario,categoria,desde,hasta,total,por_dia
Infobae,internacional,20210221,20210227,11857,1693.86
Popular,deportes,20210221,20210227,5798,828.29
Popular,varios,20210221,20210227,4985,712.14
La Nación,sociedad,20210221,20210227,2482,354.57
La Nación,lifestyle,20210221,20210227,478,68.29
La Nación,espectaculos,20210221,20210227,305,43.57
La Nación,deportes,20210221,20210227,296,42.29
La Nación,internacional,20210221,20210227,293,41.86
La Nación,politica,20210221,20210227,256,36.57
Clarín,politica,20210221,20210227,255,36.43
Clarín,internacional,20210221,20210227,229,32.71
Infobae,politica,20210221,20210227,212,30.29
Ámbito,politica,20210221,20210227,210,30.00
Clarín,deportes,20210221,20210227,197,28.14
La Nación,economia,20210221,20210227,178,25.43
Página 12,politica,20210221,20210227,178,25.43
El Destape,politica,20210221,20210227,176,25.14
TN,politica,20210221,20210227,169,24.14
Télam,politica,20210221,20210227,165,23.57
Infobae,economia,20210221,20210227,157,22.43
Ámbito,sociedad,20210221,20210227,155,22.14
Perfil,politica,20210221,20210227,154,22.00
Página 12,sociedad,20210221,20210227,150,21.43
TN,deportes,20210221,20210227,147,21.00
Infobae,espectaculos,20210221,20210227,142,20.29
TN,espectaculos,20210221,20210227,142,20.29
Clarín,sociedad,20210221,20210227,133,19.00
Infobae,sociedad,20210221,20210227,133,19.00
Clarín,economia,20210221,20210227,129,18.43
Perfil,deportes,20210221,20210227,127,18.14
Página 12,rosario12,20210221,20210227,117,16.71
Perfil,espectaculos,20210221,20210227,114,16.29
Página 12,deportes,20210221,20210227,110,15.71
Ámbito,deportes,20210221,20210227,109,15.57
Perfil,economia,20210221,20210227,108,15.43
Télam,deportes,20210221,20210227,105,15.00
TN,internacional,20210221,20210227,99,14.14
Télam,sociedad,20210221,20210227,98,14.00
TN,sociedad,20210221,20210227,90,12.86
Ámbito,economia,20210221,20210227,88,12.57
Clarín,espectaculos,20210221,20210227,82,11.71
Infobae,deportes,20210221,20210227,81,11.57
La Nación,tecnologia,20210221,20210227,76,10.86
El Destape,economia,20210221,20210227,75,10.71
Télam,internacional,20210221,20210227,72,10.29
Página 12,economia,20210221,20210227,71,10.14
