palabra,freq,por_noticia,diario
coronavirus,17170,3.68,La Nación
vacuna,110,1.59,Le Doy Mi Palabra
restricción,19215,1.52,Infobae
gobierno,104,1.51,Le Doy Mi Palabra
síntoma,6832,1.46,La Nación
departamento,6567,1.41,La Nación
vacuna,480,1.26,El Destape
Argentina,5573,1.19,La Nación
dígito,14961,1.18,Infobae
presidente,77,1.12,Le Doy Mi Palabra
Salud,5118,1.10,La Nación
viernes,13631,1.08,Infobae
lunes,13596,1.07,Infobae
muertos,4900,1.05,La Nación
pandemia,4877,1.05,La Nación
virus,4700,1.01,La Nación
provincia,4681,1.00,La Nación
paciente,4681,1.00,La Nación
partido,4673,1.00,La Nación
Ministerio,4607,0.99,La Nación
cambio,4572,0.98,La Nación
dato,4545,0.97,La Nación
criterio,4483,0.96,La Nación
gobierno,365,0.96,El Destape
dificultad,4467,0.96,La Nación
presencia,4457,0.96,La Nación
cuenta,4414,0.95,La Nación
base,4402,0.94,La Nación
vip,64,0.93,Le Doy Mi Palabra
Sello,11560,0.91,Infobae
vacuna,1168,0.87,Clarín
vacuna,537,0.85,Télam
septiembre,10221,0.81,Infobae
Salud,55,0.80,Le Doy Mi Palabra
ministro,54,0.78,Le Doy Mi Palabra
Cristina,54,0.78,Le Doy Mi Palabra
vacunación,295,0.78,El Destape
escándalo,53,0.77,Le Doy Mi Palabra
vacuna,555,0.74,Página 12
foto,964,0.72,Clarín
partido,6786,0.71,Popular
nbsp,47,0.68,Le Doy Mi Palabra
gobierno,511,0.68,Página 12
febrero,3116,0.67,La Nación
ministro,253,0.67,El Destape
gobierno,414,0.65,Télam
vacunación,45,0.65,Le Doy Mi Palabra
vacuna,656,0.65,TN
dinero,44,0.64,Le Doy Mi Palabra
actividad,7848,0.62,Infobae
presidente,235,0.62,El Destape
vacuna,424,0.60,Perfil
gobierno,801,0.60,Clarín
periodista,41,0.59,Le Doy Mi Palabra
Calefactores,7480,0.59,Infobae
calefactor,7480,0.59,Infobae
Carga,7480,0.59,Infobae
temperatura,2706,0.58,La Nación
foto,582,0.58,TN
semana,7216,0.57,Infobae
fecha,2629,0.56,La Nación
Salud,214,0.56,El Destape
gobierno,390,0.55,Perfil
dosis,38,0.55,Le Doy Mi Palabra
distrito,2559,0.55,La Nación
cifras,2510,0.54,La Nación
Vehículos,6800,0.54,Infobae
NACION,2504,0.54,La Nación
minuto,5154,0.54,Popular
vacuna,419,0.52,Ámbito
aumento,2419,0.52,La Nación
lugar,2406,0.52,La Nación
autoridad,2404,0.52,La Nación
vacuna,6512,0.51,Infobae
enfermo,2387,0.51,La Nación
OMS,2381,0.51,La Nación
COVID,2370,0.51,La Nación
total,2366,0.51,La Nación
dni,2314,0.50,La Nación
Néstor,34,0.49,Le Doy Mi Palabra
Covid,2294,0.49,La Nación
residencia,2259,0.48,La Nación
leña,6127,0.48,Infobae
factor,2250,0.48,La Nación
correo,2246,0.48,La Nación
Buenos Aires,2242,0.48,La Nación
especialista,2234,0.48,La Nación
gobierno,484,0.48,TN
nota,2231,0.48,La Nación
definición,2231,0.48,La Nación
favor,2228,0.48,La Nación
clic,2227,0.48,La Nación
contabilización,2227,0.48,La Nación
lndatalanacion,2227,0.48,La Nación
discrepancia,2227,0.48,La Nación
detallar,2227,0.48,La Nación
test,2227,0.48,La Nación
alarma,2227,0.48,La Nación
Síntomas,2227,0.48,La Nación
monitorear,2227,0.48,La Nación
sugerencia,2227,0.48,La Nación
relevancia,2213,0.47,La Nación
presidente,295,0.47,Télam
infectar,2070,0.44,La Nación
Nación,2059,0.44,La Nación
inicio,2055,0.44,La Nación
provincia,166,0.44,El Destape
reporte,2028,0.43,La Nación
Leuco,30,0.43,Le Doy Mi Palabra
juez,30,0.43,Le Doy Mi Palabra
Región,5432,0.43,Infobae
momento,29,0.42,Le Doy Mi Palabra
dosis,159,0.42,El Destape
