palabra,freq,diario,por_noticia
México,7,casarosada,1.4
presidente,5,casarosada,1
Nación,4,casarosada,0.8
Alberto Fernández,4,casarosada,0.8
palabra,4,casarosada,0.8
febrero,2667,lanacion,0.57183
coronavirus,2465,lanacion,0.52852
Argentina,2290,lanacion,0.49099
Buenos Aires,801,lanacion,0.17174
vacuna,10,diariodeleuco,0.14493
vacuna,48,eldestape,0.12632
febrero,1361,infobae,0.10755
aire,1361,infobae,0.10755
vip,7,diariodeleuco,0.10145
gobierno,6,diariodeleuco,0.08696
vacuna,51,telam,0.08057
vip,29,eldestape,0.07632
coronavirus,98,clarin,0.07297
vacunatorio,5,diariodeleuco,0.07246
vip,69,todonoticias,0.06825
Lázaro Báez,4,diariodeleuco,0.05797
Alberto,4,diariodeleuco,0.05797
condena,4,diariodeleuco,0.05797
vacunación,46,ambito,0.057
Hipódromo,536,popular,0.05575
vacuna,41,ambito,0.05081
pronóstico,229,lanacion,0.0491
clima,227,lanacion,0.04867
calidad,615,infobae,0.0486
coronavirus,48,todonoticias,0.04748
gobierno,18,eldestape,0.04737
vip,63,clarin,0.04691
programa,442,popular,0.04597
febrero,37,ambito,0.04585
gobierno,29,telam,0.04581
coronavirus,29,telam,0.04581
vacunación,17,eldestape,0.04474
Alberto,17,eldestape,0.04474
coronavirus,17,eldestape,0.04474
Febrero,208,lanacion,0.0446
recomendados,424,popular,0.0441
vacuna,59,clarin,0.04393
Condición,553,infobae,0.0437
ICAP,553,infobae,0.0437
Báez,3,diariodeleuco,0.04348
Leuco,3,diariodeleuco,0.04348
Moyano,3,diariodeleuco,0.04348
oposición,3,diariodeleuco,0.04348
Covid,3,diariodeleuco,0.04348
vacunados,3,diariodeleuco,0.04348
pase,3,diariodeleuco,0.04348
payasada,3,diariodeleuco,0.04348
Ciudad,3,diariodeleuco,0.04348
Números,418,popular,0.04348
Diario,418,popular,0.04348
vip,29,perfil,0.04096
dólar,504,infobae,0.03983
vacuna,27,perfil,0.03814
vacunación,24,telam,0.03791
vacunatorio,38,todonoticias,0.03759
victoria,358,popular,0.03724
febrero,14,eldestape,0.03684
Macri,14,eldestape,0.03684
gobierno,34,todonoticias,0.03363
Salta,155,lanacion,0.03323
coronavirus,25,paginadoce,0.0332
fecha,314,popular,0.03266
vacuna,33,todonoticias,0.03264
Alberto Fernández,23,perfil,0.03249
Alberto Fernández,26,ambito,0.03222
gobierno,43,clarin,0.03202
Córdoba,305,popular,0.03172
muerte,12,eldestape,0.03158
vacuna,397,infobae,0.03137
vacunación,21,perfil,0.02966
vacunatorio,39,clarin,0.02904
Argentina,11,eldestape,0.02895
vacuna,269,popular,0.02798
resultado,265,popular,0.02756
Boca,10,eldestape,0.02632
previsión,323,infobae,0.02553
vacunatorio,18,perfil,0.02542
gobierno,18,perfil,0.02542
cotización,317,infobae,0.02505
México,20,ambito,0.02478
juego,238,popular,0.02476
candidato,237,popular,0.02465
EEUU,310,infobae,0.0245
COVID,309,infobae,0.02442
vacunación,32,clarin,0.02383
Boca,229,popular,0.02382
Palermo,229,popular,0.02382
Argentina,15,telam,0.0237
provincia,9,eldestape,0.02368
Plata,227,popular,0.02361
Alberto Fernández,31,clarin,0.02308
Rioja,107,lanacion,0.02294
vacuna,17,paginadoce,0.02258
Alberto Fernández,17,paginadoce,0.02258
Ciudad,18,ambito,0.0223
Fernández,14,telam,0.02212
dólar,29,clarin,0.02159
frente,204,popular,0.02122
Boca,15,perfil,0.02119
plan,8,eldestape,0.02105
ciudad,98,lanacion,0.02101
triunfo,202,popular,0.02101
Argentina,28,clarin,0.02085
ganador,200,popular,0.0208
vacunación,21,todonoticias,0.02077
Argentina,21,todonoticias,0.02077
general,94,lanacion,0.02015
duda,193,popular,0.02007
muerte,253,infobae,0.01999
huracán,191,popular,0.01987
River,191,popular,0.01987
dólar,16,ambito,0.01983
gobierno,16,ambito,0.01983
febrero,20,todonoticias,0.01978
muerte,20,todonoticias,0.01978
Lorenzo,190,popular,0.01976
Juan,92,lanacion,0.01973
coronavirus,185,popular,0.01924
Lanús,184,popular,0.01914
paro,180,popular,0.01872
imagen,179,popular,0.01862
Bitcoin,15,ambito,0.01859
campaña,7,eldestape,0.01842
marzo,7,eldestape,0.01842
México,7,eldestape,0.01842
paso,7,eldestape,0.01842
Ciudad,7,eldestape,0.01842
semana,7,eldestape,0.01842
escándalo,24,clarin,0.01787
Alberto Fernández,18,todonoticias,0.0178
escándalo,18,todonoticias,0.0178
pandemia,224,infobae,0.0177
revancha,170,popular,0.01768
provincia,14,ambito,0.01735
senado,14,ambito,0.01735
plan,14,ambito,0.01735
enero,14,ambito,0.01735
México,217,infobae,0.01715
Lázaro Báez,23,clarin,0.01713
coronavirus,215,infobae,0.01699
dólar,12,perfil,0.01695
acuerdo,160,popular,0.01664
Marcelo Gallardo,159,popular,0.01654
semana,159,popular,0.01654
FMI,13,ambito,0.01611
