palabra,freq,por_noticia,diario
semana,325.00,0.28,Clarín
View,255.00,0.28,TN
ministro,174.00,0.28,Télam
Nación,940.00,0.27,La Nación
sector,86.00,0.27,El Destape
enero,252.00,0.27,TN
gobierno,930.00,0.27,La Nación
mujer,317.00,0.27,Clarín
educación,11.00,0.27,Le Doy Mi Palabra
entrada,11.00,0.27,Le Doy Mi Palabra
sociedad,11.00,0.27,Le Doy Mi Palabra
corrupción,11.00,0.27,Le Doy Mi Palabra
Leuco,11.00,0.27,Le Doy Mi Palabra
reforma,11.00,0.27,Le Doy Mi Palabra
aumento,11.00,0.27,Le Doy Mi Palabra
coronavirus,315.00,0.27,Clarín
provincia,314.00,0.27,Clarín
final,313.00,0.27,Clarín
mujer,246.00,0.27,TN
provincia,178.00,0.26,Perfil
Boca,83.00,0.26,El Destape
pandemia,240.00,0.26,TN
Argentina,162.00,0.26,Télam
vacunación,80.00,0.25,El Destape
kilómetro,870.00,0.25,La Nación
minuto,1750.00,0.25,Popular
caballo,1727.00,0.25,Popular
jugador,291.00,0.25,Clarín
precio,194.00,0.25,Ámbito
casa,227.00,0.25,TN
gobernador,10.00,0.24,Le Doy Mi Palabra
