palabra,freq,por_noticia,diario
coronavirus,10806,3.14,lanacion
Formosa,51,1.24,diariodeleuco
gobierno,49,1.2,diariodeleuco
presidente,47,1.15,diariodeleuco
Argentina,3864,1.12,lanacion
síntoma,3579,1.04,lanacion
departamento,3551,1.03,lanacion
ganador,6398,0.92,popular
enero,2961,0.86,lanacion
pandemia,2945,0.86,lanacion
gobierno,268,0.85,eldestape
provincia,2912,0.85,lanacion
vacuna,265,0.84,eldestape
provincia,34,0.83,diariodeleuco
derecho,33,0.8,diariodeleuco
foto,744,0.8,todonoticias
gobierno,926,0.79,clarin
vacuna,916,0.78,clarin
muertos,2662,0.77,lanacion
vacuna,582,0.77,paginadoce
Salud,2629,0.76,lanacion
virus,2581,0.75,lanacion
apuesto,5243,0.75,popular
paciente,2556,0.74,lanacion
partido,2521,0.73,lanacion
cambio,2488,0.72,lanacion
Ministerio,2436,0.71,lanacion
gobierno,532,0.71,paginadoce
kilo,4980,0.71,popular
gobierno,451,0.71,telam
dato,2421,0.7,lanacion
dificultad,2408,0.7,lanacion
criterio,2399,0.7,lanacion
presencia,2378,0.69,lanacion
cuenta,2338,0.68,lanacion
foto,793,0.67,clarin
nbsp,27,0.66,diariodeleuco
base,2285,0.66,lanacion
Instagram,615,0.66,todonoticias
gobierno,437,0.65,perfil
vacuna,389,0.62,telam
mts,4135,0.59,popular
apuesta,4135,0.59,popular
Carrera,4135,0.59,popular
peso,4080,0.58,popular
dólar,440,0.56,ambito
premio,3898,0.56,popular
pandemia,352,0.56,telam
vacuna,5854,0.55,infobae
Argentina,22,0.54,diariodeleuco
restricción,5709,0.54,infobae
Covid,1777,0.52,lanacion
vacuna,348,0.52,perfil
temperatura,1724,0.5,lanacion
presidente,570,0.48,clarin
presidente,151,0.48,eldestape
lunes,4969,0.47,infobae
diario,19,0.46,diariodeleuco
test,1582,0.46,lanacion
lugar,1580,0.46,lanacion
segundo,3194,0.46,popular
viernes,4779,0.45,infobae
gobierno,342,0.44,ambito
hijo,18,0.44,diariodeleuco
funcionario,18,0.44,diariodeleuco
hijo,412,0.44,todonoticias
momento,403,0.44,todonoticias
dólar,506,0.43,clarin
pandemia,290,0.43,perfil
partido,3012,0.43,popular
pandemia,500,0.42,clarin
dígito,4466,0.42,infobae
semana,4457,0.42,infobae
distrito,1451,0.42,lanacion
TERCERO,2912,0.42,popular
Cambio,17,0.41,diariodeleuco
cámara,17,0.41,diariodeleuco
Argentina,130,0.41,eldestape
provincia,128,0.41,eldestape
fecha,1426,0.41,lanacion
dni,1406,0.41,lanacion
presidente,260,0.41,telam
total,1380,0.4,lanacion
autoridad,1360,0.4,lanacion
carrera,2792,0.4,popular
Alberto Fernández,16,0.39,diariodeleuco
enfermo,1321,0.38,lanacion
COVID,1291,0.38,lanacion
pandemia,283,0.38,paginadoce
pandemia,15,0.37,diariodeleuco
Ciudad,15,0.37,diariodeleuco
Mendoza,15,0.37,diariodeleuco
dosis,115,0.37,eldestape
cifras,1276,0.37,lanacion
final,2563,0.37,popular
dólar,114,0.36,eldestape
México,3782,0.36,infobae
provincia,268,0.36,paginadoce
pandemia,3760,0.35,infobae
gobierno,3730,0.35,infobae
