palabra,freq,por_noticia,diario
coronavirus,1662,0.48,lanacion
febrero,1590,0.46,lanacion
Argentina,1427,0.41,lanacion
gobierno,8,0.13,diariodeleuco
Formosa,6,0.10,diariodeleuco
gobierno,32,0.09,eldestape
vacuna,5,0.08,diariodeleuco
febrero,892,0.08,infobae
coronavirus,29,0.08,eldestape
vacuna,27,0.07,eldestape
coronavirus,60,0.07,todonoticias
violación,4,0.07,diariodeleuco
derecho,4,0.07,diariodeleuco
Lorenzo,486,0.06,popular
foto,477,0.06,popular
vacuna,43,0.06,telam
aire,653,0.06,infobae
Hipódromo,448,0.06,popular
coronavirus,69,0.06,clarin
gobierno,38,0.05,telam
amistoso,412,0.05,popular
Plata,398,0.05,popular
febrero,39,0.05,ambito
juicio,3,0.05,diariodeleuco
Macri,3,0.05,diariodeleuco
argentinos,3,0.05,diariodeleuco
juez,3,0.05,diariodeleuco
kirchnerismo,3,0.05,diariodeleuco
Cámpora,3,0.05,diariodeleuco
CFK,3,0.05,diariodeleuco
Cristina,3,0.05,diariodeleuco
Boudou,3,0.05,diariodeleuco
carne,3,0.05,diariodeleuco
Buenos Aires,168,0.05,lanacion
febrero,364,0.05,popular
Racing,362,0.05,popular
programa,360,0.05,popular
Febrero,161,0.05,lanacion
recomendados,358,0.05,popular
vacuna,36,0.05,ambito
febrero,17,0.04,eldestape
Argentina,17,0.04,eldestape
vacuna,56,0.04,clarin
enero,152,0.04,lanacion
dólar,477,0.04,infobae
Sputnik,16,0.04,eldestape
Salta,146,0.04,lanacion
vacuna,38,0.04,todonoticias
vacuna,26,0.04,perfil
gobierno,26,0.04,perfil
coronavirus,29,0.04,telam
pronóstico,134,0.04,lanacion
clima,133,0.04,lanacion
coronavirus,25,0.04,paginadoce
Córdoba,282,0.04,popular
gobierno,33,0.04,todonoticias
nieve,269,0.04,popular
York,268,0.03,popular
dólar,27,0.03,ambito
vacuna,382,0.03,infobae
river,266,0.03,popular
Boca,21,0.03,perfil
candidato,248,0.03,popular
febrero,29,0.03,todonoticias
Argentina,28,0.03,todonoticias
gobierno,37,0.03,clarin
gobierno,23,0.03,ambito
muerte,11,0.03,eldestape
Diario,224,0.03,popular
Números,224,0.03,popular
resultado,224,0.03,popular
carrera,220,0.03,popular
Juan,98,0.03,lanacion
coronavirus,306,0.03,infobae
coronavirus,17,0.03,perfil
clase,10,0.03,eldestape
Argentina,33,0.03,clarin
calidad,289,0.03,infobae
historia,32,0.03,clarin
Patricia Bullrich,196,0.03,popular
oferta,196,0.03,popular
reunión,196,0.03,popular
Vidal,196,0.03,popular
Jorge Macri,196,0.03,popular
Covid,16,0.03,perfil
cotización,278,0.03,infobae
vacuna,17,0.03,paginadoce
Boca,22,0.02,todonoticias
hijo,22,0.02,todonoticias
enero,9,0.02,eldestape
partido,82,0.02,lanacion
COVID,258,0.02,infobae
EEUU,258,0.02,infobae
domingo,179,0.02,popular
contrato,177,0.02,popular
Quimsa,174,0.02,popular
previsión,248,0.02,infobae
Palermo,172,0.02,popular
gobierno,15,0.02,paginadoce
muerte,20,0.02,todonoticias
clase,20,0.02,todonoticias
enero,17,0.02,ambito
Rioja,75,0.02,lanacion
precio,8,0.02,eldestape
Boca,8,0.02,eldestape
Dólar,8,0.02,eldestape
vacunación,15,0.02,telam
Boca,161,0.02,popular
pandemia,230,0.02,infobae
Platense,160,0.02,popular
taller,160,0.02,popular
Argentina,16,0.02,ambito
clase,16,0.02,ambito
acción,16,0.02,ambito
dólar,25,0.02,clarin
red,18,0.02,todonoticias
presidente,14,0.02,telam
febrero,14,0.02,telam
Argentina,14,0.02,telam
jornada,68,0.02,lanacion
Ecuador,13,0.02,paginadoce
