diario,categoria,maia
ambito,sociedad,9
eldestape,sociedad,9
perfil,policiales,9
todonoticias,policiales,9
clarin,policiales,8
infobae,sociedad,6
lanacion,seguridad,6
clarin,sociedad,5
telam,policiales,3
paginadoce,sociedad,2
todonoticias,sociedad,2
lanacion,comunidad,1
telam,sociedad,1
