palabra,freq,por_noticia,diario
marzo,286,0.47551,La Nación
pronóstico,255,0.38872,La Nación
clima,252,0.38415,La Nación
Marzo,124,0.3448,La Nación
miércoles,96,0.14634,La Nación
coronavirus,88,0.08325,TN
sábado,86,0.1311,La Nación
coronavirus,64,0.04624,Clarín
domingo,53,0.08079,La Nación
Argentina,52,0.0492,TN
coronavirus,47,0.1521,La Nación
ciudad,47,0.07165,La Nación
gobierno,42,0.26975,Infobae
partido,36,0.12587,La Nación
coronavirus,32,0.04238,Télam
vacuna,30,0.02168,Clarín
gobierno,30,0.02168,Clarín
Boca,28,0.0979,La Nación
Horóscopo,28,0.04268,La Nación
Alberto Fernández,28,0.02023,Clarín
martes,27,0.04116,La Nación
vacuna,27,0.02554,TN
River,26,0.09091,La Nación
vacuna,26,0.03444,Télam
coronavirus,26,0.03242,Página 12
lunes,25,0.03811,La Nación
jornada,24,0.08392,La Nación
marzo,24,0.02906,Ámbito
River,24,0.01734,Clarín
Francia,22,0.07536,La Nación
gobierno,22,0.02081,TN
Argentina,22,0.0159,Clarín
Boca,22,0.0159,Clarín
resultado,21,0.03201,La Nación
Martín Soria,21,0.01517,Clarín
dólar,20,0.12195,Infobae
coronavirus,19,0.04232,El Destape
mes,19,0.01373,Clarín
dólar,19,0.01373,Clarín
clave,19,0.01373,Clarín
marzo,18,0.01703,TN
River,17,0.20732,Infobae
dólar,17,0.02058,Ámbito
Ciudad,17,0.02058,Ámbito
Alberto,16,0.03563,El Destape
Boca,16,0.02508,Perfil
riesgo,16,0.01937,Ámbito
vacuna,16,0.01937,Ámbito
coronavirus,16,0.01937,Ámbito
Alberto Fernández,16,0.01514,TN
hijo,16,0.01514,TN
Liga,16,0.01156,Clarín
Alberto Fernández,15,0.08671,La Nación
vacuna,15,0.05872,La Nación
Argentina,15,0.03341,El Destape
vacuna,15,0.02351,Perfil
Quiniela,15,0.02287,La Nación
Alberto,15,0.01816,Ámbito
marzo,15,0.01084,Clarín
Copa,15,0.01084,Clarín
video,15,0.01084,Clarín
Justicia,15,0.01084,Clarín
Argentina,14,0.17895,Infobae
Liga,14,0.04895,La Nación
vacuna,14,0.03118,El Destape
gobierno,14,0.01854,Télam
video,14,0.01325,TN
alineación,14,0.01012,Clarín
Boca,13,0.15854,Infobae
Alberto Fernández,13,0.08609,Infobae
Martín Soria,13,0.07514,La Nación
visitante,13,0.04545,La Nación
España,13,0.04415,La Nación
Italia,13,0.04363,La Nación
AstraZeneca,13,0.01722,Télam
Martín Soria,13,0.01621,Página 12
