diario,categoria,desde,hasta,total,por_dia
Infobae,internacional,20210314,20210320,8600,1228.57
La Nación,sociedad,20210314,20210320,1755,250.71
La Nación,lifestyle,20210314,20210320,431,61.57
La Nación,internacional,20210314,20210320,224,32.00
La Nación,deportes,20210314,20210320,223,31.86
La Nación,espectaculos,20210314,20210320,210,30.00
Clarín,internacional,20210314,20210320,202,28.86
Clarín,deportes,20210314,20210320,162,23.14
Clarín,politica,20210314,20210320,154,22.00
Ámbito,politica,20210314,20210320,127,18.14
La Nación,politica,20210314,20210320,126,18.00
Página 12,politica,20210314,20210320,124,17.71
Infobae,espectaculos,20210314,20210320,121,17.29
El Destape,politica,20210314,20210320,116,16.57
Infobae,economia,20210314,20210320,114,16.29
Infobae,politica,20210314,20210320,114,16.29
Página 12,sociedad,20210314,20210320,114,16.29
La Nación,economia,20210314,20210320,112,16.00
TN,deportes,20210314,20210320,110,15.71
Perfil,politica,20210314,20210320,107,15.29
Infobae,sociedad,20210314,20210320,105,15.00
Télam,sociedad,20210314,20210320,102,14.57
Ámbito,sociedad,20210314,20210320,100,14.29
Perfil,deportes,20210314,20210320,100,14.29
Clarín,sociedad,20210314,20210320,99,14.14
Télam,politica,20210314,20210320,99,14.14
TN,politica,20210314,20210320,99,14.14
TN,sociedad,20210314,20210320,98,14.00
TN,espectaculos,20210314,20210320,96,13.71
Télam,deportes,20210314,20210320,94,13.43
Página 12,rosario12,20210314,20210320,93,13.29
Clarín,economia,20210314,20210320,91,13.00
Perfil,economia,20210314,20210320,80,11.43
Página 12,deportes,20210314,20210320,79,11.29
Télam,internacional,20210314,20210320,67,9.57
Ámbito,economia,20210314,20210320,65,9.29
Ámbito,internacional,20210314,20210320,64,9.14
Infobae,deportes,20210314,20210320,64,9.14
Ámbito,deportes,20210314,20210320,61,8.71
TN,internacional,20210314,20210320,61,8.71
El Destape,economia,20210314,20210320,59,8.43
El Destape,sociedad,20210314,20210320,59,8.43
Página 12,internacional,20210314,20210320,57,8.14
Clarín,espectaculos,20210314,20210320,55,7.86
Página 12,economia,20210314,20210320,53,7.57
Clarín,rural,20210314,20210320,51,7.29
TN,salud,20210314,20210320,51,7.29
Télam,economia,20210314,20210320,50,7.14
Infobae,opinion,20210314,20210320,48,6.86
Ámbito,finanzas,20210314,20210320,47,6.71
Clarín,policiales,20210314,20210320,47,6.71
La Nación,opinion,20210314,20210320,47,6.71
TN,musica,20210314,20210320,47,6.71
TN,policiales,20210314,20210320,45,6.43
TN,economia,20210314,20210320,44,6.29
TN,tecno,20210314,20210320,44,6.29
Perfil,espectaculos,20210314,20210320,43,6.14
TN,estilo,20210314,20210320,43,6.14
Página 12,espectaculos,20210314,20210320,42,6.00
Télam,espectaculos,20210314,20210320,39,5.57
Perfil,internacional,20210314,20210320,38,5.43
Perfil,opinion,20210314,20210320,38,5.43
Ámbito,negocios,20210314,20210320,36,5.14
Le Doy Mi Palabra,todo,20210314,20210320,35,5.00
El Destape,deportes,20210314,20210320,34,4.86
Infobae,cultura,20210314,20210320,33,4.71
Télam,conosur,20210314,20210320,33,4.71
Ámbito,espectaculos,20210314,20210320,32,4.57
Clarín,opinion,20210314,20210320,32,4.57
La Nación,seguridad,20210314,20210320,31,4.43
La Nación,tecnologia,20210314,20210320,31,4.43
Clarín,tecnologia,20210314,20210320,29,4.14
Infobae,salud,20210314,20210320,28,4.00
TN,autos,20210314,20210320,28,4.00
Télam,policiales,20210314,20210320,26,3.71
Perfil,sociedad,20210314,20210320,25,3.57
Ámbito,nacional,20210314,20210320,23,3.29
Clarín,cultura,20210314,20210320,23,3.29
La Nación,ciencia,20210314,20210320,22,3.14
La Nación,cultura,20210314,20210320,22,3.14
La Nación,propiedades,20210314,20210320,21,3.00
El Destape,internacional,20210314,20210320,20,2.86
Perfil,policiales,20210314,20210320,20,2.86
El Destape,cultura,20210314,20210320,18,2.57
Télam,latinoamerica,20210314,20210320,18,2.57
Clarín,viajes,20210314,20210320,17,2.43
Clarín,ciudades,20210314,20210320,15,2.14
Perfil,cultura,20210314,20210320,15,2.14
Télam,cultura,20210314,20210320,15,2.14
Ámbito,lifestyle,20210314,20210320,13,1.86
Clarín,revista-n,20210314,20210320,13,1.86
TN,opinion,20210314,20210320,13,1.86
Infobae,tendencias,20210314,20210320,11,1.57
Página 12,radar,20210314,20210320,11,1.57
Ámbito,opinion,20210314,20210320,10,1.43
Clarín,buena-vida,20210314,20210320,10,1.43
Infobae,inhouse,20210314,20210320,9,1.29
La Nación,autos,20210314,20210320,8,1.14
Clarín,viva,20210314,20210320,7,1.00
Infobae,campo,20210314,20210320,7,1.00
La Nación,turismo,20210314,20210320,7,1.00
Clarín,arq,20210314,20210320,6,0.86
Clarín,autos,20210314,20210320,6,0.86
Perfil,ciencia,20210314,20210320,6,0.86
Ámbito,novedades-fiscales,20210314,20210320,5,0.71
Página 12,no,20210314,20210320,5,0.71
Télam,turismo,20210314,20210320,5,0.71
Clarín,cartas-al-pais,20210314,20210320,4,0.57
Le Doy Mi Palabra,editorial,20210314,20210320,4,0.57
La Nación,salud,20210314,20210320,4,0.57
Perfil,salud,20210314,20210320,4,0.57
Perfil,tecnologia,20210314,20210320,4,0.57
Casa Rosada,todo,20210314,20210320,3,0.43
Infobae,tecno,20210314,20210320,3,0.43
La Nación,comunidad,20210314,20210320,3,0.43
Página 12,radar libros,20210314,20210320,3,0.43
Página 12,la ventana,20210314,20210320,2,0.29
La Nación,moda-y-belleza,20210314,20210320,1,0.14
Página 12,cultura,20210314,20210320,1,0.14
