palabra,freq,por_noticia,diario
viento,964,1.46951,La Nación
lluvia,821,1.31302,La Nación
velocidad,781,2.40049,La Nación
clima,758,1.15549,La Nación
grado,756,1.15244,La Nación
cielo,725,1.20258,La Nación
kilómetro,721,1.94555,La Nación
gobierno,666,6.52447,Infobae
foto,623,0.45014,Clarín
foto,612,0.579,TN
vacuna,589,4.17456,La Nación
marzo,589,2.26131,La Nación
noche,581,1.06324,La Nación
gobierno,556,0.40173,Clarín
vacuna,550,0.3974,Clarín
temperatura,515,0.78506,La Nación
probabilidad,505,0.76982,La Nación
gobierno,504,3.2968,La Nación
Argentina,464,9.73695,Infobae
partido,459,1.70762,La Nación
presidente,442,0.31936,Clarín
franja,440,0.67073,La Nación
hijo,439,4.04556,Infobae
NACION,426,1.51924,La Nación
momento,423,5.13395,Infobae
casa,419,2.36873,La Nación
presidente,418,5.80474,Infobae
gobierno,413,0.51496,Página 12
dólar,398,3.16265,Infobae
presidente,392,2.70147,La Nación
coronavirus,389,1.62217,La Nación
mujer,374,8.38605,Infobae
vacuna,373,0.35289,TN
dólar,373,0.26951,Clarín
ciudad,368,5.13719,La Nación
vacuna,362,0.45137,Página 12
momento,359,3.99537,La Nación
hijo,357,3.23945,La Nación
ministro,349,3.88715,Infobae
sector,348,1.46844,La Nación
partido,346,0.25,Clarín
gobierno,345,0.3264,TN
hijo,336,0.24277,Clarín
orden,335,0.65842,La Nación
ministro,335,0.24205,Clarín
acuerdo,334,0.77434,La Nación
vacuna,330,5.42836,Infobae
precio,327,3.7929,Infobae
actor,322,1.09401,La Nación
Instagram,318,0.30085,TN
gobierno,317,0.70601,El Destape
coronavirus,316,0.29896,TN
mes,311,2.30426,Infobae
mes,310,0.22399,Clarín
vacuna,304,0.40265,Télam
Argentina,293,0.21171,Clarín
lugar,288,5.77447,Infobae
Argentina,285,0.26963,TN
presidente,284,0.35411,Página 12
partido,284,0.26868,TN
hijo,283,0.26774,TN
gobierno,282,0.37351,Télam
ministro,280,1.83016,La Nación
cosa,279,2.7635,Infobae
mujer,277,0.26206,TN
sol,275,0.64083,La Nación
dólar,270,0.32688,Ámbito
tarde,267,0.40701,La Nación
Estados,266,1.00102,La Nación
usd,263,1.78666,Infobae
semana,263,1.211,La Nación
presidente,263,0.58575,El Destape
pandemia,259,5.24603,Infobae
mañana,258,0.39329,La Nación
gobierno,253,0.39655,Perfil
humedad,252,0.38415,La Nación
Servicio,251,0.38262,La Nación
mediodía,251,0.38262,La Nación
pronóstico,251,0.38262,La Nación
visibilidad,251,0.38262,La Nación
mercado,249,3.9148,Infobae
semana,247,0.17847,Clarín
dosis,244,0.1763,Clarín
infectados,241,0.77994,La Nación
gente,240,2.90048,Infobae
obra,239,0.17269,Clarín
hombre,234,6.79096,Infobae
mujer,233,0.16835,Clarín
ministro,232,0.28928,Página 12
economía,228,2.58935,Infobae
vacuna,228,0.35737,Perfil
dosis,227,1.46728,La Nación
minuto,225,0.85256,La Nación
dólar,224,2.36306,La Nación
gobierno,219,0.26513,Ámbito
casa,218,0.15751,Clarín
River,218,0.15751,Clarín
Boca,215,0.75175,La Nación
sector,214,3.47042,Infobae
semana,213,2.77694,Infobae
presidente,213,0.28212,Télam
