palabra,freq,diario,por_noticia
marzo,286,lanacion,0.47551
pronóstico,255,lanacion,0.38872
clima,252,lanacion,0.38415
Marzo,124,lanacion,0.3448
gobierno,42,infobae,0.26975
COVID,8,infobae,0.22857
vacuna,12,infobae,0.21117
River,17,infobae,0.20732
casa,6,lanacion,0.2069
Argentina,14,infobae,0.17895
ministro,12,infobae,0.16727
Tierra,4,lanacion,0.16
historia,4,lanacion,0.16
Boca,13,infobae,0.15854
coronavirus,47,lanacion,0.1521
miércoles,96,lanacion,0.14634
Superclásico,12,infobae,0.14634
sábado,86,lanacion,0.1311
partido,36,lanacion,0.12587
belleza,6,infobae,0.12245
dólar,20,infobae,0.12195
vacunación,4,infobae,0.11429
libro,8,infobae,0.10812
Justicia,6,diariodeleuco,0.10714
video,11,infobae,0.10673
Maia,6,lanacion,0.1
búsqueda,6,lanacion,0.1
Boca,28,lanacion,0.0979
River,26,lanacion,0.09091
Cristina,5,diariodeleuco,0.08929
Alberto Fernández,15,lanacion,0.08671
Alberto Fernández,13,infobae,0.08609
jornada,24,lanacion,0.08392
coronavirus,88,todonoticias,0.08325
carta,6,lanacion,0.08219
lector,6,lanacion,0.08219
domingo,53,lanacion,0.08079
Francia,22,lanacion,0.07536
Martín Soria,13,lanacion,0.07514
overflow,6,infobae,0.07317
position,6,infobae,0.07317
relative,6,infobae,0.07317
width,6,infobae,0.07317
ciudad,47,lanacion,0.07165
vacuna,4,diariodeleuco,0.07143
paso,4,lanacion,0.06667
gobierno,11,lanacion,0.06358
ministro,11,lanacion,0.06358
vacuna,15,lanacion,0.05872
justicia,9,lanacion,0.05202
Argentina,52,todonoticias,0.0492
Liga,14,lanacion,0.04895
Banfield,4,infobae,0.04878
clásico,4,infobae,0.04878
gol,4,infobae,0.04878
inflación,8,infobae,0.04878
precio,8,lanacion,0.04734
Chubut,7,infobae,0.04636
ataque,7,infobae,0.04636
causa,7,infobae,0.04636
coronavirus,64,clarin,0.04624
visitante,13,lanacion,0.04545
España,13,lanacion,0.04415
Italia,13,lanacion,0.04363
Horóscopo,28,lanacion,0.04268
precio,7,infobae,0.04268
coronavirus,32,telam,0.04238
coronavirus,19,eldestape,0.04232
Copa,12,lanacion,0.04196
local,12,lanacion,0.04196
dólar,7,lanacion,0.04142
martes,27,lanacion,0.04116
Maia,6,infobae,0.04027
Justicia,6,infobae,0.03974
Martín Soria,6,infobae,0.03974
Brasil,12,lanacion,0.03883
hijo,6,infobae,0.03822
lunes,25,lanacion,0.03811
hijo,11,lanacion,0.03595
Alberto,16,eldestape,0.03563
vacuna,26,telam,0.03444
Argentina,15,eldestape,0.03341
Poder,5,infobae,0.03311
presidente,5,infobae,0.03311
coronavirus,26,paginadoce,0.03242
resultado,21,lanacion,0.03201
frase,5,infobae,0.03185
formación,9,lanacion,0.03147
horario,9,lanacion,0.03147
vacuna,14,eldestape,0.03118
Ganancias,5,infobae,0.03049
bono,5,infobae,0.03049
Argentina,5,lanacion,0.02959
inflación,5,lanacion,0.02959
sector,5,lanacion,0.02959
marzo,24,ambito,0.02906
Justicia,5,lanacion,0.0289
libro,5,lanacion,0.0289
Buenos Aires,4,infobae,0.02685
incendio,4,infobae,0.02685
Cristina Kirchner,4,infobae,0.02649
Soria,4,infobae,0.02649
designación,4,infobae,0.02649
juez,4,infobae,0.02649
lista,4,infobae,0.02649
película,8,lanacion,0.02614
vacuna,27,todonoticias,0.02554
actor,4,infobae,0.02548
dato,4,infobae,0.02548
programa,4,infobae,0.02548
Boca,16,perfil,0.02508
Ligue,7,lanacion,0.02448
final,7,lanacion,0.02448
Guzmán,4,infobae,0.02439
abril,4,infobae,0.02439
empresario,4,infobae,0.02439
mercado,4,infobae,0.02439
acción,4,lanacion,0.02367
mercado,4,lanacion,0.02367
vacuna,15,perfil,0.02351
Corte,4,lanacion,0.02312
Mauricio Macri,4,lanacion,0.02312
juez,4,lanacion,0.02312
MasterChef Celebrity,7,lanacion,0.02288
premio,7,lanacion,0.02288
Quiniela,15,lanacion,0.02287
Bolivia,7,lanacion,0.02265
India,7,lanacion,0.02265
Rusia,7,lanacion,0.02265
Uruguay,7,lanacion,0.02265
muerte,10,eldestape,0.02227
gobierno,10,eldestape,0.02227
vacuna,30,clarin,0.02168
gobierno,30,clarin,0.02168
serie,6,lanacion,0.02098
gobierno,22,todonoticias,0.02081
dólar,17,ambito,0.02058
Ciudad,17,ambito,0.02058
Alberto Fernández,28,clarin,0.02023
Boca,9,eldestape,0.02004
elección,9,eldestape,0.02004
Luciana Salazar,6,lanacion,0.01961
Alemania,6,lanacion,0.01942
Colombia,6,lanacion,0.01942
Turquía,6,lanacion,0.01942
riesgo,16,ambito,0.01937
vacuna,16,ambito,0.01937
coronavirus,16,ambito,0.01937
River,12,perfil,0.01881
