palabra,freq,por_noticia,diario
Brasil,12,0.01,Clarín
semana,12,0.01,Clarín
Beatriz Sarlo,12,0.01,Clarín
Meghan Markle,12,0.01,Clarín
precio,12,0.01,Clarín
dólar,11,0.07,Infobae
Bolivia,11,0.04,La Nación
Uruguay,11,0.04,La Nación
marzo,11,0.03,El Destape
Boca,11,0.03,El Destape
papa,11,0.01,Télam
género,11,0.01,Télam
marzo,11,0.01,Perfil
vacunación,11,0.01,Perfil
River,11,0.01,Perfil
Chubut,11,0.01,Ámbito
mes,11,0.01,Ámbito
Barcelona,11,0.01,TN
bebé,11,0.01,TN
partido,11,0.01,TN
Día,11,0.01,TN
Chubut,11,0.01,TN
príncipe,11,0.01,TN
Ganancias,11,0.01,TN
premio,11,0.01,TN
presidente,11,0.01,Clarín
violencia,11,0.01,Clarín
hombre,11,0.01,Clarín
papa,11,0.01,Clarín
clave,11,0.01,Clarín
Chubut,11,0.01,Clarín
libro,10,0.19,La Nación
precio,10,0.06,Infobae
Formosa,10,0.06,Infobae
Beatriz Sarlo,10,0.05,La Nación
Liga,10,0.03,La Nación
padre,10,0.02,La Nación
Ganancias,10,0.02,El Destape
Alberto,10,0.02,El Destape
Alberto Fernández,10,0.02,El Destape
Brasil,10,0.01,Página 12
Alberto Fernández,10,0.01,Página 12
Ciudad,10,0.01,Télam
causa,10,0.01,Télam
campaña,10,0.01,Télam
juicio,10,0.01,Télam
trabajador,10,0.01,Télam
hombre,10,0.01,Télam
pandemia,10,0.01,Télam
víctima,10,0.01,Télam
marzo,10,0.01,Télam
