palabra,freq,diario,por_noticia
mujer,1001,infobae,24.43539
café,56,lanacion,11.2
Argentina,679,infobae,10.13998
vacuna,402,infobae,8.51608
casa,357,lanacion,8.25935
mujer,605,lanacion,7.39664
viaje,56,lanacion,7.09645
sector,311,infobae,7.05588
padre,224,lanacion,7.04262
gobierno,802,lanacion,6.84013
pandemia,337,infobae,6.46504
hijo,626,infobae,6.22739
lugar,214,lanacion,6.01679
hijo,531,lanacion,6.00921
COVID,153,infobae,5.8623
chocolate,28,lanacion,5.6
gobierno,757,infobae,5.59905
nivel,199,infobae,5.24603
cafetal,26,lanacion,5.2
momento,362,infobae,5.13447
libro,250,lanacion,5.09274
obra,224,infobae,4.97424
programa,253,infobae,4.89604
hombre,256,infobae,4.75876
obra,236,lanacion,4.65157
Argentina,361,lanacion,4.56138
género,192,infobae,4.50494
marzo,802,lanacion,4.44473
libro,249,infobae,4.39439
NACION,489,lanacion,4.38654
proyecto,219,infobae,4.36938
producción,119,infobae,4.34149
calle,42,lanacion,4.29725
ciudad,435,lanacion,4.28243
pandemia,380,lanacion,4.16596
vacuna,578,lanacion,4.11324
organización,103,infobae,4.04497
lugar,267,infobae,4.0306
Dekker,20,lanacion,4
Graciela,20,lanacion,4
Shutterstock,72,infobae,3.91509
familia,199,infobae,3.91248
estudio,109,infobae,3.90297
presidente,571,lanacion,3.8936
colección,57,infobae,3.825
situación,88,lanacion,3.80651
virus,92,infobae,3.77735
Bolivia,28,lanacion,3.77241
Buenos Aires,267,infobae,3.74905
local,56,lanacion,3.71446
mes,403,infobae,3.70555
ministro,381,infobae,3.6783
provincia,347,infobae,3.59884
dólar,434,infobae,3.59679
mes,336,lanacion,3.58666
producto,96,lanacion,3.5829
precio,296,lanacion,3.51077
familia,246,lanacion,3.49523
presidente,463,infobae,3.4612
acción,130,infobae,3.44033
derecho,124,lanacion,3.39334
historia,193,infobae,3.29951
precio,436,infobae,3.20218
Ortiz,16,lanacion,3.2
Rapanui,16,lanacion,3.2
Windsor,16,lanacion,3.2
barco,16,lanacion,3.2
boda,16,lanacion,3.2
milla,16,lanacion,3.2
rey,16,lanacion,3.2
semana,248,infobae,3.1997
castillo,17,lanacion,3.16667
dólar,307,lanacion,3.16483
valor,151,infobae,3.15823
mercado,332,infobae,3.10895
salud,73,infobae,3.09155
infección,60,infobae,3.06087
cosa,256,infobae,3.03973
cocina,60,infobae,2.96854
enfermedad,87,infobae,2.95436
moda,43,infobae,2.95
reina,54,lanacion,2.93289
Piazzolla,149,infobae,2.92424
isla,54,lanacion,2.92382
mercado,262,lanacion,2.91566
paciente,67,infobae,2.91304
experiencia,63,infobae,2.90416
productor,57,infobae,2.82699
casa,291,infobae,2.81116
Carolina Reymundez,14,lanacion,2.8
navegación,14,lanacion,2.8
travesía,14,lanacion,2.8
cambio,132,infobae,2.79791
proyecto,202,lanacion,2.7679
hombre,145,lanacion,2.76545
sector,412,lanacion,2.72871
cargo,124,infobae,2.72707
Boca,240,infobae,2.69663
dosis,199,infobae,2.69253
economía,225,infobae,2.68659
espacio,121,lanacion,2.63003
noche,581,lanacion,2.59518
modelo,70,infobae,2.57978
música,184,infobae,2.55069
sistema,140,lanacion,2.54368
usd,293,infobae,2.54009
espacio,137,infobae,2.53671
valor,174,lanacion,2.52633
Buenos Aires,92,lanacion,2.50838
cambio,175,lanacion,2.50638
construcción,51,lanacion,2.50549
alquiler,94,lanacion,2.48194
padre,217,infobae,2.48056
viento,903,lanacion,2.47406
historia,262,lanacion,2.46293
Francia,148,lanacion,2.45847
artista,101,infobae,2.44659
selva,18,lanacion,2.43509
Bariloche,17,lanacion,2.42632
zona,119,lanacion,2.401
Flora,12,lanacion,2.4
océano,12,lanacion,2.4
paria,12,lanacion,2.4
niño,95,infobae,2.3714
vacunación,156,infobae,2.33779
tierra,27,infobae,2.31993
través,51,infobae,2.28406
Crédito,28,infobae,2.26742
Harry,102,lanacion,2.26412
marzo,134,infobae,2.25124
diversidad,36,infobae,2.25
edificio,51,lanacion,2.22617
autor,74,infobae,2.21743
vecino,66,lanacion,2.21643
brecha,66,infobae,2.18359
unidad,34,infobae,2.1828
Alberto Fernández,300,infobae,2.17531
carrera,84,infobae,2.15276
inversión,69,infobae,2.14559
sistema,104,infobae,2.14046
orgasmo,34,infobae,2.125
plan,48,infobae,2.11784
colegio,56,lanacion,2.09554
luz,71,lanacion,2.09035
matrimonio,39,lanacion,2.08709
acuerdo,342,lanacion,2.08223
planeta,33,lanacion,2.0625
estudio,52,lanacion,2.05718
tienda,23,lanacion,2.04118
derecho,233,infobae,2.02869
bosque,30,infobae,2.025
momento,489,lanacion,2.02485
coronavirus,556,lanacion,2.01171
inmueble,45,lanacion,2.0098
Ciudad,144,infobae,2.00925
ley,171,lanacion,2.00564
Pacífico,10,lanacion,2
cereza,10,lanacion,2
PCR,46,infobae,2
carne,32,infobae,2
viaje,54,infobae,1.96875
grano,22,lanacion,1.96513
producción,84,lanacion,1.95033
docente,17,lanacion,1.93678
departamento,69,lanacion,1.91988
gente,184,infobae,1.91085
partido,578,lanacion,1.90897
situación,121,infobae,1.89044
hermano,178,infobae,1.88034
ministro,307,lanacion,1.87923
US,124,lanacion,1.87599
manera,128,infobae,1.86657
kilómetro,678,lanacion,1.85901
frente,93,lanacion,1.85459
artista,112,lanacion,1.85286
foto,190,infobae,1.84142
víctima,99,lanacion,1.83354
meteoro,29,lanacion,1.8125
bombero,36,infobae,1.80594
esquina,15,lanacion,1.80588
Consejo,51,infobae,1.78942
paso,24,lanacion,1.77338
Salta,17,lanacion,1.75517
resultado,44,infobae,1.75183
diseñador,28,infobae,1.75
invierno,28,infobae,1.75
dinero,127,lanacion,1.73744
coronavirus,58,infobae,1.73147
negocio,59,infobae,1.7244
vacunación,146,lanacion,1.7158
incendio,122,infobae,1.70783
Adela,51,lanacion,1.7
tema,113,infobae,1.68995
película,113,infobae,1.68372
camino,26,lanacion,1.67891
inflación,218,infobae,1.67361
cuidado,45,infobae,1.65577
hermano,144,lanacion,1.65432
cosecha,17,lanacion,1.65263
Salud,215,lanacion,1.64456
clave,33,infobae,1.63951
huracán,26,lanacion,1.625
aceite,26,infobae,1.625
albóndiga,26,infobae,1.625
gastronomía,26,infobae,1.625
novio,16,lanacion,1.62402
aumento,153,lanacion,1.62288
partido,161,infobae,1.61804
pesar,13,lanacion,1.61639
venta,26,infobae,1.60968
técnico,37,infobae,1.6087
investigador,30,lanacion,1.60345
tipo,99,infobae,1.60161
provincia,203,lanacion,1.6008
Baritú,8,lanacion,1.6
Burdeos,8,lanacion,1.6
Café Baritú,8,lanacion,1.6
Fenoglio,8,lanacion,1.6
Flora Tristán,8,lanacion,1.6
Graciela Ortiz,8,lanacion,1.6
Jujuy,8,lanacion,1.6
Panamá,8,lanacion,1.6
Perú,8,lanacion,1.6
St Maarten,8,lanacion,1.6
Zelanda,8,lanacion,1.6
gentileza,8,lanacion,1.6
ola,8,lanacion,1.6
plantación,8,lanacion,1.6
rumbo,8,lanacion,1.6
sabor,8,lanacion,1.6
turista,8,lanacion,1.6
Ciudad,55,lanacion,1.59403
desarrollo,87,infobae,1.56464
Tierra,25,lanacion,1.5625
poder,131,infobae,1.53781
fuego,126,infobae,1.53071
piel,29,infobae,1.52717
tecnología,32,infobae,1.51336
running,24,infobae,1.5
actividad,88,infobae,1.48673
propiedad,54,lanacion,1.48643
juez,211,lanacion,1.48348
propiedad,34,infobae,1.46761
riesgo,62,infobae,1.46258
empleado,28,infobae,1.45951
tango,80,infobae,1.45907
rol,15,infobae,1.45833
poder,137,lanacion,1.45533
ciudad,40,infobae,1.4479
minuto,58,infobae,1.43796
propuesta,27,infobae,1.43333
actor,206,infobae,1.42782
sueño,35,infobae,1.42664
conflicto,14,infobae,1.41784
texto,28,infobae,1.41667
minuto,216,lanacion,1.41414
peso,83,lanacion,1.41399
relación,142,infobae,1.41251
campo,34,infobae,1.40784
medio,122,infobae,1.40637
velocidad,686,lanacion,1.39891
deuda,165,infobae,1.39273
temperatura,466,lanacion,1.3876
dosis,190,lanacion,1.38303
alumno,25,lanacion,1.38278
Justicia,160,lanacion,1.37924
juez,185,infobae,1.37026
agua,37,infobae,1.36888
bono,211,infobae,1.36129
inversión,111,lanacion,1.35539
científicos,33,lanacion,1.35237
síntoma,31,infobae,1.34783
director,73,infobae,1.34272
energía,59,lanacion,1.34065
compañero,33,infobae,1.33779
actor,410,lanacion,1.33687
policía,93,lanacion,1.33612
compromiso,8,lanacion,1.33333
humo,8,lanacion,1.33333
lluvia,683,lanacion,1.32364
grado,681,lanacion,1.31977
clima,679,lanacion,1.31589
política,115,infobae,1.30702
ley,125,infobae,1.3047
gente,118,lanacion,1.29592
manera,210,lanacion,1.28716
cuerpo,65,infobae,1.28609
amigo,127,infobae,1.28556
base,37,infobae,1.28427
cielo,662,lanacion,1.28295
plato,25,infobae,1.28185
amor,102,infobae,1.28164
Estados,55,infobae,1.27218
River,113,infobae,1.26966
club,113,infobae,1.26966
Salud,146,infobae,1.26588
tendencia,29,infobae,1.2644
Messina,20,infobae,1.25
restaurante,17,infobae,1.25
punto,89,infobae,1.23832
oficina,42,lanacion,1.23529
vivienda,42,lanacion,1.23529
línea,29,infobae,1.2229
zona,86,infobae,1.22266
pago,65,infobae,1.22043
exportación,79,infobae,1.21161
ministerio,13,infobae,1.20135
temporada,216,lanacion,1.20093
inversor,55,infobae,1.19677
cuenta,62,lanacion,1.19471
medida,104,infobae,1.19093
jardín,38,lanacion,1.18824
atmósfera,19,lanacion,1.1875
material,19,lanacion,1.1875
disco,57,infobae,1.1875
hecho,97,infobae,1.18566
fase,35,infobae,1.18384
película,231,lanacion,1.18083
glaucoma,27,infobae,1.17391
Ministerio,97,infobae,1.17183
Covid,23,lanacion,1.16956
