palabra,freq,diario,por_noticia
marzo,279,lanacion,0.59935
Marzo,199,lanacion,0.57962
pronóstico,228,lanacion,0.44186
clima,226,lanacion,0.43798
Boca,28,infobae,0.31461
COVID,7,infobae,0.30435
coronavirus,71,lanacion,0.24393
alquiler,8,lanacion,0.23529
gobierno,39,infobae,0.23416
Argentina,12,infobae,0.22552
partido,62,lanacion,0.20328
vacunación,9,infobae,0.20281
Alberto Fernández,34,infobae,0.19653
libro,10,lanacion,0.19299
River,15,infobae,0.16854
mujer,16,infobae,0.16239
jornada,49,lanacion,0.16066
ciudad,81,lanacion,0.15698
propiedad,5,lanacion,0.14706
belleza,7,infobae,0.14583
historia,17,infobae,0.13149
hijo,26,lanacion,0.13099
Formosa,8,diariodeleuco,0.12698
Piazzolla,6,infobae,0.125
Alberto Fernández,23,lanacion,0.12105
Horóscopo,58,lanacion,0.1124
Macri,7,diariodeleuco,0.11111
gobierno,20,lanacion,0.10819
policía,6,lanacion,0.10345
hijo,16,infobae,0.10191
lunes,52,lanacion,0.10078
miércoles,52,lanacion,0.10078
vacuna,23,lanacion,0.0997
jueves,51,lanacion,0.09884
martes,51,lanacion,0.09884
prueba,5,lanacion,0.09615
carta,7,lanacion,0.09459
lector,7,lanacion,0.09459
víctima,5,lanacion,0.08621
sábado,40,lanacion,0.07752
cámara,4,lanacion,0.07692
muerte,8,lanacion,0.07672
precio,13,lanacion,0.07602
local,23,lanacion,0.07541
Boca,22,lanacion,0.07213
dólar,11,infobae,0.07097
dólar,12,lanacion,0.07018
coronavirus,29,eldestape,0.06971
Matanza,4,lanacion,0.06897
femicidio,4,lanacion,0.06897
juicio,4,lanacion,0.06897
mujer,4,lanacion,0.06897
robo,4,lanacion,0.06897
Formosa,13,lanacion,0.06842
futbol,6,infobae,0.06742
precio,10,infobae,0.06452
vacuna,4,diariodeleuco,0.06349
Bullrich,4,diariodeleuco,0.06349
libro,4,diariodeleuco,0.06349
hombre,9,infobae,0.06294
España,19,lanacion,0.06265
Hipódromo,489,popular,0.06164
coronavirus,80,clarin,0.05979
River,18,lanacion,0.05902
resultado,30,lanacion,0.05814
Ganancias,9,infobae,0.05806
usd,9,infobae,0.05806
Formosa,10,infobae,0.0578
vacuna,24,eldestape,0.05769
frente,4,infobae,0.05634
Racing,5,infobae,0.05618
Superclásico,5,infobae,0.05618
Tevez,5,infobae,0.05618
formación,5,infobae,0.05618
jugador,5,infobae,0.05618
Francia,17,lanacion,0.05609
incendio,8,infobae,0.05594
Buenos Aires,9,infobae,0.05471
Beatriz Sarlo,10,lanacion,0.05263
FMI,8,infobae,0.05161
coronavirus,38,telam,0.05121
Italia,15,lanacion,0.04957
horario,15,lanacion,0.04918
crimen,7,infobae,0.04895
viernes,25,lanacion,0.04845
vacunación,20,eldestape,0.04808
domingo,24,lanacion,0.04651
Gildo Insfrán,8,infobae,0.04624
vacuna,34,telam,0.04582
bono,7,infobae,0.04516
cambio,7,infobae,0.04516
inflación,7,infobae,0.04516
mercado,7,infobae,0.04516
MasterChef Celebrity,15,lanacion,0.04505
Vélez,4,infobae,0.04494
final,4,infobae,0.04494
goleada,4,infobae,0.04494
mensaje,7,infobae,0.04459
Quiniela,23,lanacion,0.04457
Macri,18,eldestape,0.04327
Brasil,13,lanacion,0.04319
formación,13,lanacion,0.04262
Lorenzo,338,popular,0.04261
presidente,8,lanacion,0.04211
Chubut,6,infobae,0.04196
prisión,6,infobae,0.04196
Argentina,7,lanacion,0.04094
Argentina,17,eldestape,0.04087
Cambio,7,infobae,0.04046
Justicia,7,infobae,0.04046
Alberto Fernández,35,ambito,0.04028
serie,12,lanacion,0.03934
Wall Street,6,infobae,0.03871
economía,6,infobae,0.03871
dólar,33,ambito,0.03797
Liga,297,popular,0.03744
Axel Kicillof,7,lanacion,0.03684
Chubut,7,lanacion,0.03684
Bolivia,11,lanacion,0.03654
Uruguay,11,lanacion,0.03654
elección,15,eldestape,0.03606
final,284,popular,0.0358
marzo,31,ambito,0.03567
recomendados,281,popular,0.03542
peso,6,lanacion,0.03509
abuso,5,infobae,0.03497
mes,5,infobae,0.03497
ministro,6,infobae,0.03468
coronavirus,34,todonoticias,0.03452
programa,273,popular,0.03441
domingo,271,popular,0.03416
resultado,268,popular,0.03378
vacuna,45,clarin,0.03363
gobierno,33,todonoticias,0.0335
Liga,10,lanacion,0.03279
