palabra,freq,por_noticia,diario
mujer,1001,24.44,Infobae
mujer,957,0.72,Clarín
viento,903,2.47,La Nación
foto,900,0.67,Clarín
gobierno,802,6.84,La Nación
marzo,802,4.44,La Nación
gobierno,757,5.60,Infobae
vacuna,716,0.54,Clarín
velocidad,686,1.40,La Nación
lluvia,683,1.32,La Nación
grado,681,1.32,La Nación
Argentina,679,10.14,Infobae
clima,679,1.32,La Nación
kilómetro,678,1.86,La Nación
cielo,662,1.28,La Nación
gobierno,656,0.49,Clarín
presidente,643,0.48,Clarín
foto,641,0.65,TN
hijo,626,6.23,Infobae
mujer,605,7.40,La Nación
noche,581,2.60,La Nación
vacuna,578,4.11,La Nación
partido,578,1.91,La Nación
presidente,571,3.89,La Nación
coronavirus,556,2.01,La Nación
hijo,531,6.01,La Nación
dólar,510,0.59,Ámbito
dólar,499,0.37,Clarín
Instagram,495,0.50,TN
NACION,489,4.39,La Nación
momento,489,2.02,La Nación
vacuna,478,0.64,Télam
temperatura,466,1.39,La Nación
presidente,463,3.46,Infobae
mujer,457,0.62,Página 12
mujer,450,0.59,Perfil
hijo,441,0.45,TN
precio,436,3.20,Infobae
ciudad,435,4.28,La Nación
dólar,434,3.60,Infobae
gobierno,427,0.58,Página 12
franja,426,0.83,La Nación
sector,412,2.73,La Nación
actor,410,1.34,La Nación
Argentina,409,0.31,Clarín
mujer,408,0.41,TN
gobierno,405,0.41,TN
mes,403,3.71,Infobae
vacuna,402,8.52,Infobae
vacuna,386,0.53,Página 12
gobierno,385,0.50,Perfil
ministro,381,3.68,Infobae
pandemia,380,4.17,La Nación
gobierno,378,0.91,El Destape
pandemia,378,0.28,Clarín
vacuna,373,0.38,TN
gobierno,372,0.50,Télam
mujer,365,0.49,Télam
hijo,364,0.27,Clarín
momento,362,5.13,Infobae
Argentina,361,4.56,La Nación
casa,357,8.26,La Nación
provincia,347,3.60,Infobae
acuerdo,342,2.08,La Nación
pandemia,337,6.47,Infobae
infectados,337,1.12,La Nación
mes,336,3.59,La Nación
mercado,332,3.11,Infobae
presidente,329,0.43,Perfil
mujer,318,0.76,El Destape
momento,316,0.32,TN
sector,311,7.06,Infobae
lugar,309,0.23,Clarín
mes,308,0.23,Clarín
dosis,308,0.23,Clarín
dólar,307,3.16,La Nación
ministro,307,1.88,La Nación
vacunación,307,0.23,Clarín
probabilidad,305,0.59,La Nación
Alberto Fernández,300,2.18,Infobae
familia,299,0.22,Clarín
precio,296,3.51,La Nación
presidente,296,0.71,El Destape
semana,295,0.22,Clarín
mercado,294,0.34,Ámbito
usd,293,2.54,Infobae
casa,291,2.81,Infobae
vacuna,289,0.38,Perfil
presidente,286,0.39,Télam
gobierno,285,0.33,Ámbito
provincia,284,0.21,Clarín
ministro,280,0.21,Clarín
partido,272,0.20,Clarín
jugador,270,1.11,La Nación
lugar,267,4.03,Infobae
Buenos Aires,267,3.75,Infobae
presidente,266,0.36,Página 12
familia,264,0.27,TN
mercado,262,2.92,La Nación
historia,262,2.46,La Nación
casa,262,0.20,Clarín
violencia,260,0.19,Clarín
hombre,256,4.76,Infobae
cosa,256,3.04,Infobae
Brasil,256,0.92,La Nación
programa,253,4.90,Infobae
Argentina,253,0.33,Perfil
gol,252,0.83,La Nación
orden,252,0.49,La Nación
partido,252,0.26,TN
libro,250,5.09,La Nación
libro,249,4.39,Infobae
semana,248,3.20,Infobae
red,247,0.25,TN
marzo,247,0.18,Clarín
familia,246,3.50,La Nación
hombre,245,0.18,Clarín
Estados,243,1.02,La Nación
precio,243,0.18,Clarín
programa,242,0.76,La Nación
bono,242,0.28,Ámbito
Boca,240,2.70,Infobae
obra,236,4.65,La Nación
final,236,0.82,La Nación
vacuna,234,0.56,El Destape
violencia,234,0.32,Página 12
derecho,233,2.03,Infobae
mujer,233,0.27,Ámbito
presidente,232,0.24,TN
película,231,1.18,La Nación
this,230,0.23,TN
post,230,0.23,TN
humedad,229,0.44,La Nación
momento,227,0.17,Clarín
pronóstico,226,0.44,La Nación
mes,226,0.26,Ámbito
economía,225,2.69,Infobae
dosis,225,0.30,Télam
padre,224,7.04,La Nación
obra,224,4.97,Infobae
coronavirus,224,0.30,Télam
provincia,220,0.30,Página 12
proyecto,219,4.37,Infobae
ministro,219,0.30,Página 12
inflación,218,1.67,Infobae
pandemia,218,0.29,Télam
Buenos Aires,218,0.29,Télam
proyecto,218,0.25,Ámbito
padre,217,2.48,Infobae
