palabra,freq,por_noticia,diario
minuto,216,1.41,La Nación
temporada,216,1.20,La Nación
Salud,215,1.64,La Nación
tarde,215,0.64,La Nación
mañana,215,0.43,La Nación
obra,215,0.16,Clarín
lugar,214,6.02,La Nación
historia,214,0.16,Clarín
sol,213,0.72,La Nación
futbol,212,0.80,La Nación
juez,211,1.48,La Nación
bono,211,1.36,Infobae
amor,211,0.47,La Nación
manera,210,1.29,La Nación
juez,209,0.16,Clarín
mes,207,0.21,TN
actor,206,1.43,Infobae
vacunación,206,0.28,Télam
provincia,203,1.60,La Nación
proyecto,202,2.77,La Nación
Servicio,202,0.41,La Nación
mediodía,202,0.39,La Nación
madrugada,200,0.39,La Nación
mínima,200,0.39,La Nación
nivel,199,5.25,Infobae
familia,199,3.91,Infobae
dosis,199,2.69,Infobae
visibilidad,197,0.38,La Nación
semana,197,0.23,Ámbito
película,197,0.15,Clarín
River,196,0.64,La Nación
mercado,196,0.15,Clarín
violencia,195,0.26,Télam
ciudad,194,0.26,Télam
historia,193,3.30,Infobae
proyecto,193,0.14,Clarín
género,192,4.50,Infobae
View,191,0.19,TN
foto,190,1.84,Infobae
dosis,190,1.38,La Nación
torneo,190,0.69,La Nación
niño,188,0.57,La Nación
España,187,0.86,La Nación
dosis,186,0.19,TN
juez,185,1.37,Infobae
música,184,2.55,Infobae
gente,184,1.91,Infobae
club,184,0.77,La Nación
Argentina,184,0.21,Ámbito
dólar,182,0.18,TN
semana,181,0.65,La Nación
